,-0.12322536972384222,-0.09241902729288166,-0.061612684861921105,-0.030806342430960545,1.3877787807814457e-17,0.030806342430960573,0.06161268486192113,0.09241902729288169,0.12322536972384225,0.15403171215480282,0.18483805458576336,0.2156443970167239,0.24645073944768447,0.27725708187864506,0.3080634243096056,0.3388697667405661,0.3696761091715267,0.4004824516024873,0.4312887940334479,0.46209513646440836
thresh,-0.10782219850836194,0.10782219850836194,1,,,,,,,,,,,,,,,,,
unreg,1,6,19,179,4331,158,23,8,3,0,2,0,0,0,1,0,1,0,0,0
unreg_genes,['pykA'],[],[],[],[],[],[],[],['PP_3776' 'lysA-II' 'amiC'],[],['PP_3105' 'pcaB'],[],[],[],['oxyR'],[],['PP_3790'],[],[],[]
