,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.149,0.13293607486307094,2.0,0.0,-0.243,1.0,-0.055,,,,
1,set1__Glucose carbon source (20mM),0.015999999999999993,0.1767766952966369,2.0,2.0,-0.109,3.0,0.141,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.091,0.021213203435596427,2.0,4.0,-0.076,5.0,-0.106,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.004999999999999999,0.00848528137423857,2.0,6.0,-0.011,7.0,0.001,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.0755,0.09263098833543772,2.0,8.0,-0.01,9.0,-0.141,,,,
5,set5__D-Glucose carbon source,-0.1,0.019798989873223337,2.0,10.0,-0.086,11.0,-0.114,,,,
6,set5__Levulinic Acid carbon source,0.175,0.15184860881812517,4.0,12.0,0.041,13.0,0.047,14.0,0.322,15.0,0.29
7,set5__Vanillin carbon source,0.105,0.0537401153701776,2.0,16.0,0.143,17.0,0.067,,,,
8,set5__p-Coumaric acid carbon source,-0.022,0.05232590180780451,2.0,18.0,0.015,19.0,-0.059,,,,
9,set6__D-Glucose carbon source,0.199,,1.0,20.0,0.199,,,,,,
10,set6__Ferulic Acid carbon source,0.085,,1.0,21.0,0.085,,,,,,
11,set6__benzoic acid carbon source,0.08,,1.0,22.0,0.08,,,,,,
12,set6__Valerolactam carbon source,0.101,,1.0,23.0,0.101,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.189,,1.0,24.0,0.189,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.347,,1.0,25.0,-0.347,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.013500000000000002,0.06293250352560273,2.0,26.0,0.031,30.0,-0.058,,,,
16,set7__Valerolactam 10 mM carbon source,-0.157,,1.0,27.0,-0.157,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.764,,1.0,28.0,0.764,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.35350000000000004,0.03747665940288701,2.0,29.0,-0.327,31.0,-0.38,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.058,,1.0,32.0,-0.058,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.062,,1.0,33.0,0.062,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.12,,1.0,34.0,-0.12,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.3385,0.21991020894901628,2.0,35.0,-0.494,47.0,-0.183,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.1885,0.03464823227814082,2.0,36.0,0.164,49.0,0.213,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.156,,1.0,37.0,-0.156,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.054,,1.0,38.0,0.054,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.068,,1.0,39.0,-0.068,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.118,,1.0,40.0,0.118,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.032,,1.0,41.0,0.032,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.002,,1.0,42.0,0.002,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.164,,1.0,43.0,0.164,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.164,,1.0,44.0,0.164,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.126,,1.0,45.0,0.126,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.146,,1.0,46.0,0.146,,,,,,
