,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-4.2684999999999995,0.7360981592151956,2.0,0.0,-4.789,1.0,-3.748,,,,
1,set1__Glucose carbon source (20mM),-4.598000000000001,0.03535533905932725,2.0,2.0,-4.623,3.0,-4.573,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-4.6385,0.9043895731375939,2.0,4.0,-3.999,5.0,-5.278,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-5.4445,0.3245620125646257,2.0,6.0,-5.215,7.0,-5.674,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-4.391500000000001,0.1477853172679888,2.0,8.0,-4.496,9.0,-4.287,,,,
5,set5__D-Glucose carbon source,-4.8315,0.3217335854398792,2.0,10.0,-5.059,11.0,-4.604,,,,
6,set5__Levulinic Acid carbon source,-4.970000000000001,0.9581235132625996,4.0,12.0,-6.187,13.0,-4.376,14.0,-5.261,15.0,-4.056
7,set5__Vanillin carbon source,-5.602,0.26445793616376856,2.0,16.0,-5.789,17.0,-5.415,,,,
8,set5__p-Coumaric acid carbon source,-6.09,0.4129503602129435,2.0,18.0,-5.798,19.0,-6.382,,,,
9,set6__D-Glucose carbon source,-3.852,,1.0,20.0,-3.852,,,,,,
10,set6__Ferulic Acid carbon source,-4.67,,1.0,21.0,-4.67,,,,,,
11,set6__benzoic acid carbon source,-5.456,,1.0,22.0,-5.456,,,,,,
12,set6__Valerolactam carbon source,-3.801,,1.0,23.0,-3.801,,,,,,
13,set6__D-Glucuronic Acid carbon source,-5.383,,1.0,24.0,-5.383,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-3.446,,1.0,25.0,-3.446,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-2.3955,0.09970205614730321,2.0,26.0,-2.325,30.0,-2.466,,,,
16,set7__Valerolactam 10 mM carbon source,-2.68,,1.0,27.0,-2.68,,,,,,
17,set7__L-Lysine 10 mM carbon source,-3.309,,1.0,28.0,-3.309,,,,,,
18,set7__D-Lysine 10 mM carbon source,-3.766,0.03535533905932725,2.0,29.0,-3.791,31.0,-3.741,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-4.565,,1.0,32.0,-4.565,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-3.158,,1.0,33.0,-3.158,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-2.549,,1.0,34.0,-2.549,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-1.6864999999999999,1.6708933239438115,2.0,35.0,-2.868,47.0,-0.505,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-1.5,1.5924044712321048,2.0,36.0,-2.626,49.0,-0.374,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-2.455,,1.0,37.0,-2.455,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.267,,1.0,38.0,-0.267,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-1.327,,1.0,39.0,-1.327,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-1.523,,1.0,40.0,-1.523,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.485,,1.0,41.0,-0.485,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-1.521,,1.0,42.0,-1.521,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-1.204,,1.0,43.0,-1.204,,,,,,
