,-0.14395606939106403,-0.11996339115922003,-0.09597071292737602,-0.07197803469553202,-0.04798535646368801,-0.023992678231844006,0.0,0.023992678231844006,0.04798535646368801,0.07197803469553202,0.09597071292737602,0.11996339115922,0.14395606939106403,0.16794874762290807,0.19194142585475205,0.21593410408659602,0.23992678231844006,0.2639194605502841,0.28791213878212807,0.31190481701397205
thresh,-0.13195973027514202,0.13195973027514202,1,,,,,,,,,,,,,,,,,
unreg,2,0,4,8,32,385,3916,329,39,5,0,4,5,1,0,0,1,1,0,0
unreg_genes,['PP_0763' 'ppiB'],[],[],[],[],[],[],[],[],[],[],[],['PP_0179' 'PP_0177' 'PP_3539' 'fadB' 'PP_0176'],['secG'],[],[],['PP_4696'],['PP_1968'],[],[]
