,40
set1IT078,-0.939757720982711
set1IT079,-0.1358072207186254
set1IT080,-0.7860154464492685
set1IT081,-0.8794862338543946
set1IT082,-1.2623104546543615
set1IT083,-1.443601076127301
set1IT084,-0.1095494673907992
set1IT085,0.3992506002018644
set1IT086,-0.8845293691305263
set1IT087,-0.2981873406785068
set5IT075,-0.4229547429110828
set5IT076,-0.3763864382741839
set5IT081,-0.6551571677099868
set5IT082,-0.4861529298179762
set5IT083,-0.1016916267842483
set5IT084,-0.6824791809500588
set5IT085,-0.8309611602649162
set5IT086,-0.1889310625391281
set5IT087,-0.9695767801855985
set5IT088,-1.2676031803626164
set6IT057,0.5534130615938583
set6IT059,-0.1491033965172835
set6IT061,0.3144270722950973
set6IT064,0.1259858497108323
set6IT065,-0.1709477072381881
set7IT042,-0.7420069589007425
set7IT044,-0.2546592928655943
set7IT045,0.247997055620201
set7IT055,-0.284803013865359
set7IT056,-1.4907941049505848
set7IT057,-2.127029263249104
set7IT062,-1.869982050451412
set8IT058,-0.3252407434480203
set8IT059,-0.5447829852157107
set8IT060,0.5934545898393464
set8IT062,0.2215183055853027
set8IT064,0.2542552817004202
set8IT070,0.1543995274937358
set8IT073,0.6775135274071096
set8IT080,-0.3124908209861273
set8IT081,0.1627024897131216
set8IT082,1.3777798088976076
set8IT084,0.918915753970158
set8IT085,1.497455920056062
set8IT089,-0.4567599292932464
set8IT090,0.1992384997626985
set8IT092,0.5161808972415733
set8IT093,1.3847080801535494
set8IT094,-0.5025337297264272
set8IT095,0.1447359228292991
set8IT096,0.7291714266239775
set9IT020,1.6806477666496298
set9IT022,1.535469282021544
set9IT025,0.973099415923737
set10IT006,-2.073676408930937
set10IT008,-1.075420995598769
set10IT010,-1.182948732158574
set10IT017,-0.5159414101224741
set10IT018,-0.5035768000403268
set10IT019,-0.2047981289723043
set10IT020,-0.6351646987177783
set10IT021,0.1752505053338808
set10IT022,-0.2607960704539395
set10IT023,-0.5115465253830773
set10IT024,-0.4995880042639372
set10IT025,-0.4655848168196431
set10IT026,0.5496942063069394
set10IT027,-0.8910021048885881
set10IT028,-0.6519213523149481
set10IT029,0.4610835235888953
set10IT031,-0.3885138786128898
set10IT032,-0.3823785373173212
set10IT033,-0.1218891842071358
set10IT034,-0.5205588098226691
set10IT035,0.1613942500657674
set10IT036,-0.3564614118744683
set10IT037,-0.2542646973561824
set10IT043,-0.2989570827332206
set10IT044,-1.878585312850694
set10IT053,1.671215196613148
set12IT001,-0.3869533401536623
set12IT002,-0.3681992647274568
set12IT004,-1.2476789676399382
set12IT007,-0.5830895571987479
set12IT008,-4.176668350310142
set12IT009,2.1906997603599283
set12IT014,-1.047357272079164
set12IT015,-0.703109440769039
set12IT016,-0.980585689938794
set12IT017,-0.6215509288555775
set12IT023,-0.2246032482609748
set12IT024,-0.5040434963949044
set12IT025,-0.182884812619972
set12IT026,-1.3549846443671618
set12IT027,-0.7492140052318247
set12IT028,-0.2756024885758771
set12IT029,-1.3172748814119992
set12IT031,0.3990901200347408
set12IT032,-1.5260422625140802
set12IT034,-0.269042820821371
set12IT037,-1.5052374808151934
set12IT038,-3.2358583982092037
set12IT039,0.1136394078162317
set12IT044,-0.618251647106784
set12IT046,-0.2500217467831785
set12IT053,-1.0636583864332918
set12IT054,-0.2951269712425924
set12IT055,-0.2519763254532183
set12IT056,-1.1289407193155447
set12IT057,-0.5916679879360864
set12IT058,-0.0407217934773283
set12IT059,-0.1291744223096561
set15IT054,-1.8048948757245509
set15IT057,19.716093881065444
set15IT058,-0.7173948366265425
set15IT059,-0.621380837308944
set15IT060,9.521569746103868
set15IT061,-0.5172760096371154
set15IT062,-1.7014828115508496
set15IT063,-1.3588243372908386
set15IT064,-1.374586606881945
set15IT065,0.167069332157052
set15IT066,-0.0028415572848111
set15IT067,-1.4101127460197642
set15IT068,-2.379158255961068
set15IT071,7.071353912485112
set15IT072,-0.3066809466237033
set15IT073,-0.0539903714957874
set15IT074,9.67465994813868
set15IT075,-0.0662135074266283
set15IT076,-0.6679847609120096
set15IT077,-0.5436668454303214
set15IT078,-1.811163801628377
set15IT079,0.234815215873133
set15IT080,-0.3906542530612576
set15IT081,-0.978220905189355
set16IT004,-0.9743290211214364
set16IT005,-1.133181211727508
set16IT006,-0.5030108629633824
set16IT007,-0.2488137229000725
set16IT008,-0.7915443270630119
set16IT009,-0.4266736219586627
set16IT010,-0.5060166179243887
set16IT011,-0.3347813195505848
set16IT012,3.57750118374868
set16IT013,3.962641200387541
set16IT014,-0.2341768787702084
set16IT015,-0.7168245793009294
set27IT004,-0.8817284848084711
set27IT005,-0.7746275719911027
set27IT006,-0.4963761652847809
set27IT007,0.3898871125143218
set27IT008,-0.7996580749976592
set27IT009,-0.5839852611387455
set27IT010,-0.328741691943022
set27IT011,-0.3790368638797803
set27IT012,-1.239929528616883
set27IT013,-0.7620927853044642
set27IT014,-0.2303973906313322
set27IT015,-0.6625520966490203
set27IT016,-1.133279369293612
set27IT017,-0.8105447779757818
set27IT018,-0.4053575325622179
set27IT019,-0.6980658861488707
set27IT020,-0.4885138556799683
set27IT021,0.1481376546818232
set27IT024,0.1127957693205731
set27IT025,0.8572890807865116
set27IT028,-0.1479722200868537
set27IT029,-0.4201565477015031
set27IT030,-0.3576866941709695
set27IT031,-0.7099783900853492
set27IT032,-0.9797469601652268
set27IT033,-0.6104290271852324
set27IT034,-0.404560858515316
set27IT035,-0.6292273287944525
set27IT036,-1.269841892642617
set27IT037,-0.6787463253980566
set27IT038,0.2670279908417428
set27IT039,-0.059118493462783
set27IT040,-0.2484031437461985
set27IT041,-0.4382248826993947
set27IT042,-1.0968740836175996
set27IT043,-1.0226443311304316
set27IT044,-0.5174057418266385
