,-0.10119416217039061,-0.07870657057697047,-0.05621897898355034,-0.03373138739013021,-0.011243795796710074,0.01124379579671006,0.033731387390130194,0.05621897898355034,0.07870657057697046,0.10119416217039058,0.12368175376381073,0.14616934535723086,0.16865693695065098,0.1911445285440711,0.21363212013749128,0.2361197117309114,0.2586073033243315,0.28109489491775164,0.30358248651117176,0.32607007810459193
thresh,-0.08995036637368055,0.08995036637368055,1,,,,,,,,,,,,,,,,,
unreg,1,0,10,99,2474,2020,83,22,7,5,3,0,3,1,1,2,1,0,0,0
unreg_genes,['glgB'],[],[],[],[],[],[],[],[],['uvrC' 'kauB' 'nfxB' 'spuB' 'PP_2370'],['potF-II' 'hflK' 'mgtC'],[],['PP_3148' 'ompR' 'hflC'],['yajC'],['PP_3245'],['PP_3146' 'PP_4304'],['PP_5096'],[],[],[]
