,-0.12987848457837517,-0.1082320704819793,-0.08658565638558344,-0.06493924228918757,-0.043292828192791705,-0.02164641409639584,2.7755575615628914e-17,0.021646414096395894,0.04329282819279176,0.06493924228918763,0.08658565638558349,0.10823207048197936,0.12987848457837523,0.15152489867477112,0.17317131277116696,0.1948177268675628,0.2164641409639587,0.23811055506035458,0.2597569691567504,0.2814033832531463
thresh,-0.1407016916265731,0.1407016916265731,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,4,34,433,3833,376,28,9,1,0,1,3,7,0,0,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['wzy' 'wbpM' 'wbpY'],['PP_4938' 'wbpZ' 'rmd' 'PP_1780' 'PP_1776' 'gmd' 'wbpL'],[],[],['PP_4940' 'galU'],[],[]
