,-0.2628501226412781,-0.22241164223492763,-0.18197316182857715,-0.14153468142222667,-0.10109620101587619,-0.060657720609525706,-0.020219240203175226,0.02021924020317528,0.060657720609525734,0.10109620101587619,0.1415346814222267,0.1819731618285772,0.22241164223492765,0.2628501226412781,0.30328860304762867,0.3437270834539791,0.3841655638603296,0.42460404426668,0.4650425246730305,0.505481005079381
thresh,-0.08087696081270095,0.08087696081270095,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,4,10,2618,2056,27,9,3,2,0,1,1,0,0,0,0,0
unreg_genes,['trpE'],[],[],[],['PP_0393' 'cysB' 'panC' 'nadB'],[],[],[],[],['ftsK' 'PP_2345' 'queA' 'minD' 'hisC' 'PP_2052' 'amiC' 'PP_5500' 'ilvI'],['ptxD' 'miaA' 'PP_2388'],['PP_2714' 'PP_2348'],[],['glgB'],['tgt'],[],[],[],[],[]
