,-0.11560350749873079,-0.0867026306240481,-0.0578017537493654,-0.028900876874682707,-1.3877787807814457e-17,0.028900876874682666,0.05780175374936537,0.08670263062404808,0.11560350749873076,0.14450438437341345,0.17340526124809613,0.20230613812277887,0.23120701499746155,0.2601078918721442,0.28900876874682696,0.31790964562150964,0.3468105224961923,0.375711399370875,0.4046122762455577,0.43351315312024036
thresh,-0.13005394593607214,0.13005394593607214,2,,,,,,,,,,,,,,,,,
unreg,0,3,13,277,4178,234,16,5,1,2,0,0,0,0,0,0,0,0,0,0
PP_3359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['glcB' 'pobA'],[],[],[],[],[],[],[],[],[],[]
PP_3359_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_3358'],['fcs'],['vdh'],[],[]
