,A,PP_3359
R2,,0.06214083395894876
xmin,,-1.607
xmid,,
xmax,,1.319
ystart,,-1.4802981244120628
yend,,1.3532769089703975
set1IT078,0.7879523336607517,0.124
set1IT079,0.3458488813617962,-0.742
set1IT080,0.4017166665074566,0.09
set1IT081,0.5925833327079162,-0.127
set1IT082,-0.1649419759364659,-0.504
set1IT083,-0.339965192032712,-0.277
set1IT084,-0.04969331546,-0.603
set1IT085,0.0011018852493515,-0.469
set1IT086,-0.4228158784734555,0.123
set1IT087,0.0342665540880362,-0.037
set5IT075,-0.4126145799156396,-0.01
set5IT076,-0.2433696380174956,-0.162
set5IT081,0.2033018286576099,-0.491
set5IT082,-0.3176036441811767,-0.167
set5IT083,-0.1424087846455554,-0.414
set5IT084,-0.6467322197857169,-0.316
set5IT085,0.9321704435588096,1.319
set5IT086,0.5758101588064658,0.473
set5IT087,-11.510488268417802,-0.672
set5IT088,-11.389198166836923,-0.488
set6IT057,0.3412153198466812,0.242
set6IT059,-0.6512925721277082,-0.203
set6IT061,1.7711292555354106,0.238
set6IT064,0.6023571370912396,-0.252
set6IT065,-0.6048159449682101,-0.156
set7IT042,0.8069496843298929,-0.281
set7IT044,-0.1368949887323755,-0.432
set7IT045,0.4504174163803195,-0.527
set7IT055,0.2692739128029024,-0.738
set7IT056,1.0697775292897596,-0.188
set7IT057,0.5687831972260928,-0.171
set7IT062,0.1062307887821084,-0.313
set8IT058,-0.4284868464193262,-0.113
set8IT059,-1.120443593546304,-0.221
set8IT060,-0.8446270687078317,-0.458
set8IT062,-0.3700721651724288,0.463
set8IT064,-0.6848973021403711,0.154
set8IT070,-0.1211954234819027,0.42
set8IT073,-1.2970337103444032,-0.176
set8IT080,1.022900912893333,-0.691
set8IT081,0.1380312884161006,-1.189
set8IT082,-0.0906686254733113,-0.348
set8IT084,0.1758809671695209,-0.016
set8IT085,-0.8026487637148756,0.037
set8IT089,0.9493961749392994,-0.212
set8IT090,-0.6473347415787665,-0.571
set8IT092,-0.6911923332568987,-0.166
set8IT093,-0.5956416898934599,-0.708
set8IT094,-0.2311918825081028,-0.717
set8IT095,-0.8967156695806096,-1.169
set8IT096,-1.5869173903506155,0.103
set9IT020,-0.2808532998964695,0.34
set9IT022,0.1418270008915585,0.777
set9IT025,-0.60720104316034,0.825
set10IT006,1.0608155852804564,0.034
set10IT008,-0.4444264532298854,0.158
set10IT010,-0.0030883153528463,0.033
set10IT017,0.196944445030634,0.118
set10IT018,0.2359762926823353,0.221
set10IT019,-0.0270829962624174,0.233
set10IT020,-0.1011644310283714,0.258
set10IT021,0.8190260344964279,0.029
set10IT022,-0.0540339218783544,0.418
set10IT023,-0.0834765934117319,-0.345
set10IT024,0.2869059456734268,-0.037
set10IT025,0.0113906535036537,0.496
set10IT026,0.3507433352746547,-0.466
set10IT027,0.2441219976775659,0.175
set10IT028,0.3519409462466678,-0.138
set10IT029,0.5261021466059674,0.442
set10IT031,0.0318400107037407,-0.028
set10IT032,0.6478754943174299,0.36
set10IT033,-0.2082286905118048,-0.219
set10IT034,-0.3305422589034579,0.293
set10IT035,0.3839177385714433,0.256
set10IT036,0.1745479381982483,0.529
set10IT037,0.1242461039242889,-0.002
set10IT043,0.9000218627604852,-0.223
set10IT044,0.4071353394018454,0.132
set10IT053,-0.3038940408468375,-0.315
set12IT001,0.0471628636279078,0.056
set12IT002,-0.3630770111537656,-0.458
set12IT004,-0.0014637017906828,-0.33
set12IT007,-0.2835362720394135,-0.393
set12IT008,-1.159711490683275,-0.124
set12IT009,0.048175956009894,-0.91
set12IT014,2.0976356726687904,-0.423
set12IT015,2.487116361141487,0.061
set12IT016,1.895978191921804,-0.238
set12IT017,2.787355316077413,-0.481
set12IT023,-0.1353098680967487,-0.694
set12IT024,-9.507630487026976,-1.223
set12IT025,0.1537175534293166,-1.087
set12IT026,-6.657604992557952,-0.145
set12IT027,-0.1866643217490644,-0.67
