,A,ModR
R2,,0.019361015869694076
xmin,,-0.435
xmid,,
xmax,,0.534
ystart,,0.33753978360405457
yend,,-1.8049944082984797
set1IT078,0.3088092273366715,0.056
set1IT079,-0.0615504492736243,0.121
set1IT080,0.052148255630064,0.1
set1IT081,-0.0213778055125478,-0.132
set1IT082,-0.4807086824072247,-0.1
set1IT083,-0.7584039680151737,0.028
set1IT084,-0.6876817537678906,-0.307
set1IT085,-0.3307335952099277,-0.143
set1IT086,-0.1523826501620556,0.334
set1IT087,0.0538974970761801,-0.039
set5IT075,-0.0206553640320231,0.202
set5IT076,-0.1370630139354013,0.069
set5IT081,-2.12599781807807,0.006
set5IT082,-1.5222043648560657,0.275
set5IT083,-0.4698127340431449,0.077
set5IT084,-0.5744542598273368,0.123
set5IT085,-17.4862327384473,0.232
set5IT086,-18.5291321101609,0.049
set5IT087,-0.1487087177430073,-0.03
set5IT088,-0.3781336451901979,0.136
set6IT057,0.6570965917818065,-0.236
set6IT059,-0.7674624619087795,-0.315
set6IT061,-0.0640175846682028,-0.154
set6IT064,0.2439581704297607,0.012
set6IT065,-0.5402537997375028,-0.019
set7IT042,-0.2475253638809599,-0.112
set7IT044,-0.0233852963634696,0.026
set7IT045,0.2258018303523062,0.126
set7IT055,-0.4401937701777215,0.205
set7IT056,-0.2932325518888294,0.126
set7IT057,-0.1549669403428344,0.148
set7IT062,-0.5185698703937017,0.189
set8IT058,-0.2513007902996368,-0.024
set8IT059,-0.40008505670411,0.012
set8IT060,-1.4400165343635145,0.194
set8IT062,-0.6116371465040369,-0.172
set8IT064,-0.7365527021537843,-0.114
set8IT070,-0.4041278886699193,-0.372
set8IT073,-0.3367141459761062,-0.14
set8IT080,0.3627082410532838,-0.193
set8IT081,0.4721647892350514,0.103
set8IT082,0.1656443776776605,-0.279
set8IT084,0.6588364355225863,-0.237
set8IT085,-0.8326417776297762,-0.095
set8IT089,-0.7646004744785537,-0.05
set8IT090,-0.704087140019563,0.005
set8IT092,-1.0519743059967093,-0.103
set8IT093,-0.1139619552380482,0.005
set8IT094,-0.0212466528268411,0.008
set8IT095,-0.4867432799257916,-0.21
set8IT096,-0.2438439882076438,0.067
set9IT020,1.4964082343930918,0.409
set9IT022,0.96115440027343,0.18
set9IT025,1.03074364893376,0.404
set10IT006,1.1842951507824488,-0.087
set10IT008,-0.7370348019150983,-0.346
set10IT010,-1.424008219509609,-0.063
set10IT017,0.1408907008953575,0.213
set10IT018,0.3336625955254758,-0.042
set10IT019,0.8337993193957138,0.047
set10IT020,0.1970061457941983,-0.04
set10IT021,0.6339411286129498,-0.248
set10IT022,-0.180431890760002,-0.004
set10IT023,0.0758217552805205,-0.1
set10IT024,0.2716345089544252,-0.078
