,Value,list
TF,ModR,
reg_genes,0,[]
comp_genes,20,"['nicR' 'PP_4231' 'moaE' 'moaD' 'moaB-I' 'iorA-II' 'adhB' 'moaC' 'cysNC'
 'moeA' 'cycH' 'PP_3622' 'nirB' 'tusA-I' 'glpK' 'moeB' 'moaA']"
both_genes,0,['modB' 'modA' 'modC']
reg_genes2,3,
comp_genes2,0,
both_genes2,0,
