,-0.06260748808435068,-0.04173832538956712,-0.02086916269478356,0.0,0.02086916269478356,0.04173832538956712,0.06260748808435068,0.08347665077913424,0.1043458134739178,0.12521497616870136,0.14608413886348492,0.16695330155826849,0.18782246425305205,0.2086916269478356,0.22956078964261917,0.25042995233740273,0.2712991150321863,0.29216827772696985,0.3130374404217534,0.33390660311653697
thresh,-0.07304206943174246,0.07304206943174246,2,,,,,,,,,,,,,,,,,
unreg,3,23,366,4043,240,24,13,5,3,0,5,0,0,0,0,1,3,0,0,0
ModR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],['nirB' 'cysNC' 'moeB' 'cycH' 'nicR'],['glpK' 'moaB-I' 'adhB'],[],['tusA-I' 'PP_4231' 'moaA' 'iorA-II' 'PP_3622'],[],[],[],[],['moaE'],['moeA' 'moaC' 'moaD'],[],[],[]
ModR_genes,[],[],[],[],[],[],[],[],[],[],[],['modC'],[],[],['modA'],[],['modB'],[],[],[]
