,PP_0936
set1IT078,0.06
set1IT079,0.274
set1IT080,0.153
set1IT081,0.23
set1IT082,0.349
set1IT083,0.129
set1IT084,0.286
set1IT085,0.014
set1IT086,0.128
set1IT087,0.488
set5IT075,-0.212
set5IT076,0.18
set5IT081,0.333
set5IT082,0.263
set5IT083,0.245
set5IT084,0.254
set5IT085,0.155
set5IT086,-0.209
set5IT087,-0.042
set5IT088,0.029
set6IT057,0.08
set6IT059,0.163
set6IT061,0.122
set6IT064,0.188
set6IT065,0.138
set7IT042,-0.199
set7IT044,0.122
set7IT045,-0.088
set7IT055,0.184
set7IT056,-0.141
set7IT057,0.057
set7IT062,0.025
set8IT058,0.351
set8IT059,-0.16
set8IT060,0.357
set8IT062,0.023
set8IT064,-0.21
set8IT070,-0.085
set8IT073,0.169
set8IT080,0.087
set8IT081,0.108
set8IT082,0.363
set8IT084,0.021
set8IT085,0.083
set8IT089,-0.066
set8IT090,-0.031
set8IT092,-0.309
set8IT093,0.133
set8IT094,0.069
set8IT095,0.175
set8IT096,0.161
set9IT020,0.1
set9IT022,0.045
set9IT025,0.19
set10IT006,0.392
set10IT008,-0.366
set10IT010,-0.133
set10IT017,-0.135
set10IT018,0.139
set10IT019,-0.184
set10IT020,-0.011
set10IT021,-0.129
set10IT022,0.021
set10IT023,-0.228
set10IT024,-0.039
set10IT025,-0.3
set10IT026,-0.219
set10IT027,0.085
set10IT028,-0.013
set10IT029,0.017
set10IT031,-0.068
set10IT032,-0.178
set10IT033,-0.161
set10IT034,0.031
set10IT035,0.077
set10IT036,0.106
set10IT037,-0.123
set10IT043,0.233
set10IT044,0.104
set10IT053,0.19
set12IT001,0.175
set12IT002,-0.07
set12IT004,-0.294
set12IT007,0.086
set12IT008,-0.226
set12IT009,0.131
set12IT014,-0.127
set12IT015,0.048
set12IT016,0.179
set12IT017,0.185
set12IT023,-0.074
set12IT024,0.145
set12IT025,-0.037
set12IT026,0.242
set12IT027,0.228
set12IT028,-0.217
set12IT029,0.152
set12IT031,0.017
set12IT032,-0.011
set12IT034,0.297
set12IT037,0.055
set12IT038,-0.152
set12IT039,0.009
set12IT044,0.298
set12IT046,0.06
set12IT053,0.382
set12IT054,0.037
set12IT055,0.033
set12IT056,0.34
set12IT057,0.212
set12IT058,-0.002
set12IT059,-0.026
set15IT054,0.16
set15IT057,-0.098
set15IT058,0.212
set15IT059,0.033
set15IT060,0.165
set15IT061,0.015
set15IT062,0.027
set15IT063,0.155
set15IT064,0.21
set15IT065,0.288
set15IT066,0.131
set15IT067,-0.303
set15IT068,0.099
set15IT071,0.328
set15IT072,0.053
set15IT073,0.052
set15IT074,-0.148
set15IT075,0.085
set15IT076,0.017
set15IT077,-0.042
set15IT078,0.081
set15IT079,0.068
set15IT080,0.112
set15IT081,-0.224
set16IT004,-0.104
set16IT005,0.221
set16IT006,-0.071
set16IT007,-0.087
set16IT008,-0.023
set16IT009,0.126
set16IT010,0.039
set16IT011,0.189
set16IT012,-0.099
set16IT013,0.039
set16IT014,0.06
set16IT015,-0.098
set27IT004,-0.112
set27IT005,-0.006
set27IT006,-0.007
set27IT007,0.005
set27IT008,-0.124
set27IT009,-0.082
set27IT010,0.093
set27IT011,-0.313
set27IT012,-0.052
set27IT013,-0.133
set27IT014,-0.111
set27IT015,-0.141
set27IT016,-0.201
set27IT017,-0.259
set27IT018,-0.073
set27IT019,-0.124
set27IT020,-0.113
set27IT021,-0.012
set27IT024,-0.208
set27IT025,-0.154
set27IT028,0.292
set27IT029,0.594
set27IT030,-0.077
set27IT031,-0.124
set27IT032,-0.085
set27IT033,-0.028
set27IT034,-0.06
set27IT035,-0.091
set27IT036,0.033
set27IT037,0.07
set27IT038,0.015
set27IT039,-0.032
set27IT040,0.194
set27IT041,0.199
set27IT042,-0.111
set27IT043,-0.073
set27IT044,-0.045
set27IT045,-0.017
set27IT046,-0.024
set27IT047,0.154
set27IT048,-0.127
set27IT049,-0.135
set27IT050,0.026
set27IT051,-0.075
set27IT052,-0.09
set27IT053,-0.1
set27IT054,-0.103
set27IT055,-0.207
set27IT056,0.084
set27IT057,-0.19
set27IT058,0.041
set27IT059,-0.272
set27IT060,0.027
set27IT061,-0.115
set27IT062,0.0
set27IT063,-0.064
set27IT064,0.028
set27IT065,-0.013
set27IT066,0.033
set27IT067,0.117
set27IT068,-0.007
set27IT069,-0.051
set27IT070,-0.226
set27IT071,-0.094
set27IT072,-0.081
set27IT073,-0.092
set28IT003,0.159
set28IT004,0.125
set28IT005,0.228
set28IT006,-0.001
set28IT007,0.257
set28IT008,0.025
set28IT009,0.23
set28IT010,0.221
set28IT013,0.009
set28IT014,0.144
set28IT017,0.259
set28IT018,0.025
set28IT021,0.189
set28IT022,-0.061
set28IT023,0.235
set28IT024,-0.023
set28IT027,0.427
set28IT028,0.275
set28IT029,0.153
set28IT030,0.165
set28IT031,0.175
set28IT032,0.046
set28IT035,0.108
set28IT036,-0.008
set28IT037,0.357
set28IT038,0.325
set28IT039,0.177
set28IT040,-0.207
set28IT041,0.024
set28IT042,-0.111
set28IT045,-0.056
set28IT046,-0.011
set29IT004,0.106
set29IT005,0.205
set29IT006,0.235
set29IT007,0.232
set29IT014,0.1
set29IT015,-0.054
