,-0.1845694474498479,-0.156174147842179,-0.1277788482345101,-0.0993835486268412,-0.0709882490191723,-0.042592949411503406,-0.014197649803834506,0.014197649803834395,0.042592949411503295,0.0709882490191722,0.0993835486268411,0.12777884823451,0.1561741478421789,0.1845694474498478,0.2129647470575167,0.2413600466651856,0.26975534627285447,0.2981506458805234,0.32654594548819227,0.3549412450958612
thresh,-0.19876709725368236,0.19876709725368236,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,11,65,2350,2229,59,9,3,2,0,0,0,0,2,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_2215' 'PP_2217'],[],['fadBA'],[]
