,-0.05001778350845673,-0.01667259450281891,0.01667259450281891,0.05001778350845673,0.08336297251409455,0.11670816151973237,0.1500533505253702,0.18339853953100801,0.21674372853664584,0.2500889175422837,0.28343410654792145,0.3167792955535593,0.3501244845591971,0.38346967356483497,0.41681486257047273,0.4501600515761106,0.4835052405817484,0.5168504295873861,0.550195618593024,0.5835408075986619
thresh,-0.06669037801127564,0.06669037801127564,1,,,,,,,,,,,,,,,,,
unreg,6,2710,1993,9,6,0,2,1,0,0,0,1,1,2,1,0,0,0,0,0
unreg_genes,[],[],[],[],['PP_3248' 'PP_4785' 'PP_0345' 'dsbA' 'dsbB' 'PP_3105'],[],['ttg2E' 'PP_0856'],['mlaD'],[],[],[],['ttg2D'],['PP_4937'],['mlaF' 'vacJ'],['mlaE'],[],[],[],[],[]
