,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.2175,0.14354267658086914,2.0,0.0,-0.319,1.0,-0.116,,,,
1,set1__Glucose carbon source (20mM),-0.16649999999999998,0.03323401871576774,2.0,2.0,-0.19,3.0,-0.143,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.023,0.09899494936611666,2.0,4.0,-0.047,5.0,0.093,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.075,0.19091883092036785,2.0,6.0,0.06,7.0,-0.21,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.0825,0.021920310216782972,2.0,8.0,-0.098,9.0,-0.067,,,,
5,set5__D-Glucose carbon source,0.0225,0.05586143571373726,2.0,10.0,-0.017,11.0,0.062,,,,
6,set5__Levulinic Acid carbon source,0.23099999999999998,0.06557946833168646,4.0,12.0,0.273,13.0,0.147,14.0,0.212,15.0,0.292
7,set5__Vanillin carbon source,0.10300000000000001,0.03959797974644667,2.0,16.0,0.131,17.0,0.075,,,,
8,set5__p-Coumaric acid carbon source,0.10350000000000001,0.004949747468305827,2.0,18.0,0.107,19.0,0.1,,,,
9,set6__D-Glucose carbon source,0.027,,1.0,20.0,0.027,,,,,,
10,set6__Ferulic Acid carbon source,-0.103,,1.0,21.0,-0.103,,,,,,
11,set6__benzoic acid carbon source,0.05,,1.0,22.0,0.05,,,,,,
12,set6__Valerolactam carbon source,0.149,,1.0,23.0,0.149,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.082,,1.0,24.0,0.082,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.057,,1.0,25.0,-0.057,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.0095,0.0417193000900063,2.0,26.0,-0.039,30.0,0.02,,,,
16,set7__Valerolactam 10 mM carbon source,-0.246,,1.0,27.0,-0.246,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.129,,1.0,28.0,-0.129,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.083,0.06081118318204309,2.0,29.0,-0.126,31.0,-0.04,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.026,,1.0,32.0,-0.026,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.042,,1.0,33.0,-0.042,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.121,,1.0,34.0,-0.121,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.1005,0.0021213203435596346,2.0,35.0,-0.102,47.0,-0.099,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.095,0.21354624791833735,2.0,36.0,0.056,49.0,-0.246,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.214,,1.0,37.0,-0.214,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.118,,1.0,38.0,-0.118,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.022,,1.0,39.0,0.022,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.082,,1.0,40.0,-0.082,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.152,,1.0,41.0,0.152,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.097,,1.0,42.0,-0.097,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.128,,1.0,43.0,-0.128,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.028,,1.0,44.0,-0.028,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.101,,1.0,45.0,-0.101,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.033,,1.0,46.0,-0.033,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.107,,1.0,48.0,-0.107,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.14,,1.0,50.0,-0.14,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.285,,1.0,51.0,-0.285,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.065,,1.0,52.0,0.065,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-0.122,,1.0,53.0,-0.122,,,,,,
39,set10__L-Arginine carbon source,0.104,,1.0,54.0,0.104,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.056,,1.0,55.0,-0.056,,,,,,
41,set10__L-Histidine carbon source,0.13,,1.0,56.0,0.13,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,0.015,,1.0,57.0,0.015,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,0.047,,1.0,58.0,0.047,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,0.018,,1.0,59.0,0.018,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,0.118,,1.0,60.0,0.118,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-0.229,,1.0,61.0,-0.229,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-0.031,,1.0,62.0,-0.031,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,0.039,,1.0,63.0,0.039,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,0.017,,1.0,64.0,0.017,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,0.012,,1.0,65.0,0.012,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,0.148,,1.0,66.0,0.148,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,0.188,,1.0,67.0,0.188,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,0.058,,1.0,68.0,0.058,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,0.008,,1.0,69.0,0.008,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,0.104,,1.0,70.0,0.104,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,0.241,,1.0,71.0,0.241,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,0.054,,1.0,72.0,0.054,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,0.006,,1.0,73.0,0.006,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,0.131,,1.0,74.0,0.131,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-0.047,,1.0,75.0,-0.047,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,0.038,,1.0,76.0,0.038,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,0.04,,1.0,77.0,0.04,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.045,,1.0,78.0,0.045,,,,,,
64,set10__Sodium butyrate carbon source,-0.1,,1.0,79.0,-0.1,,,,,,
65,set12__Vanillin carbon source,-0.039,0.0834386001800126,2.0,80.0,0.02,97.0,-0.098,,,,
66,"set12__1,2-Propanediol carbon source",0.03949999999999999,0.08980256121069154,2.0,81.0,-0.024,98.0,0.103,,,,
67,set12__Sodium propionate carbon source,0.123,0.02262741699796953,2.0,82.0,0.139,99.0,0.107,,,,
68,set12__2-methyl-1-butanol carbon source,-0.0050000000000000044,0.2517300141024109,2.0,83.0,0.173,100.0,-0.183,,,,
69,"set12__1,5-Pentanediol carbon source",-0.024500000000000008,0.20293964620053917,2.0,84.0,-0.168,101.0,0.119,,,,
70,"set12__1,4-Butanediol carbon source",-0.010000000000000002,0.06505382386916236,2.0,85.0,0.036,102.0,-0.056,,,,
71,set12__Vanillic Acid carbon source,0.089,0.028284271247461894,2.0,86.0,0.069,103.0,0.109,,,,
72,set12__Protocatechuic Acid carbon source,0.063,0.08768124086713189,2.0,87.0,0.125,89.0,0.001,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,0.0225,0.0431335136523794,2.0,88.0,0.053,104.0,-0.008,,,,
74,set12__L-Lysine carbon source,0.042499999999999996,0.11808683245815343,2.0,90.0,0.126,105.0,-0.041,,,,
