,-0.09092701347651178,-0.06819526010738383,-0.04546350673825589,-0.022731753369127944,0.0,0.022731753369127944,0.04546350673825589,0.06819526010738383,0.09092701347651178,0.11365876684563972,0.13639052021476766,0.15912227358389563,0.18185402695302355,0.20458578032215147,0.22731753369127944,0.2500492870604074,0.2727810404295353,0.29551279379866324,0.3182445471677912,0.3409763005369192
thresh,-0.0795611367919478,0.0795611367919478,1,,,,,,,,,,,,,,,,,
unreg,2,1,26,256,4140,259,28,8,3,1,0,0,0,2,0,3,3,0,0,0
unreg_genes,['rpoS' 'rlmD'],[],[],[],[],[],[],[],['glpK' 'nfuA' 'tgt'],['PP_4696'],[],[],[],['nuoM' 'nuoN'],[],['nuoG' 'nuoB' 'nuoC'],['nuoL' 'nuoE' 'nuoI'],[],[],[]
