,-0.09421148429412411,-0.07850957024510342,-0.06280765619608274,-0.04710574214706205,-0.03140382809804136,-0.015701914049020674,1.3877787807814457e-17,0.0157019140490207,0.03140382809804139,0.04710574214706208,0.06280765619608276,0.07850957024510345,0.09421148429412414,0.10991339834314483,0.1256153123921655,0.14131722644118622,0.15701914049020688,0.17272105453922754,0.18842296858824825,0.20412488263726897
thresh,-0.10206244131863446,0.10206244131863446,1,,,,,,,,,,,,,,,,,
unreg,0,0,4,21,96,868,2881,718,79,34,12,5,7,1,2,2,1,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_0412'],['PP_5705' 'PP_4196'],['PP_0414' 'PP_0411'],['PP_t12'],[],['PP_3505'],[]
