,-0.09060790285387707,-0.03020263428462569,0.03020263428462569,0.09060790285387707,0.15101317142312845,0.21141843999237983,0.2718237085616312,0.3322289771308826,0.39263424570013394,0.45303951426938527,0.5134447828386367,0.5738500514078881,0.6342553199771395,0.6946605885463908,0.7550658571156422,0.8154711256848937,0.875876394254145,0.9362816628233963,0.9966869313926476,1.0570921999618992
thresh,-0.12081053713850276,0.12081053713850276,1,,,,,,,,,,,,,,,,,
unreg,2,2443,2281,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,[],[],[],[],['hisG'],[],[],[],[],[],[],[],[],[],['hisC'],[],[],[],[],[]
