,A,DctD-II
R2,,0.7386384016363505
xmin,,-1.109
xmid,,0.44899962600902693
xmax,,4.386
ystart,,-1.1051024753377623
yend,,15.632325030869636
set1IT078,-2.450846732479944,-0.07
set1IT079,-2.127637102584937,0.299
set1IT080,-3.0044384537010784,-0.17
set1IT081,-2.7096693743694886,-0.105
set1IT082,-1.4094560330384462,-0.04
set1IT083,-1.3465300560881106,0.36
set1IT084,-2.26942927713163,0.209
set1IT085,-1.901659390094483,0.351
set1IT086,-1.87582259797254,-0.163
set1IT087,-1.5496219087262104,0.28
set5IT075,-1.8537370442311687,-0.059
set5IT076,-1.975691861974585,-0.082
set5IT081,-3.624864268552304,-0.362
set5IT082,-2.7470050216868294,-0.172
set5IT083,-2.1082224470046977,0.449
set5IT084,-1.415161905827343,0.923
set5IT085,-1.987356988974932,-0.283
set5IT086,-1.3296486366569595,-0.188
set5IT087,-2.357024781498435,-0.341
set5IT088,-1.93489031889154,0.162
set6IT057,-0.5077113347261699,-0.098
set6IT059,0.0912584041981012,-0.112
set6IT061,0.0903125337882715,-0.187
set6IT064,-0.3391993203917792,-0.011
set6IT065,-0.284517142731546,-0.166
set7IT042,-0.5102478334249214,0.027
set7IT044,-0.2558012215469867,-0.179
set7IT045,-1.137046225318585,-0.203
set7IT055,-0.6763133437384163,-0.168
set7IT056,-0.0721809852629345,0.102
set7IT057,-3.135880573737861,-0.892
set7IT062,-1.814741498082051,-0.408
set8IT058,0.5632801110344468,0.133
set8IT059,-0.3982064191118187,0.065
set8IT060,0.0882690096536578,0.816
set8IT062,0.1367388969000033,0.376
set8IT064,-0.3344041605791736,0.274
set8IT070,-1.2685135328906072,0.325
set8IT073,-0.9976557064578304,-0.156
set8IT080,-0.554351404582007,-0.448
set8IT081,-1.463692278060568,0.05
set8IT082,-0.6515996381031041,0.115
set8IT084,-1.5288600743646363,0.126
set8IT085,-0.7081073682885295,0.226
set8IT089,-0.0712535063797661,0.004
set8IT090,-0.7809241629386454,0.102
set8IT092,-1.0331535851390183,0.136
set8IT093,-1.17805755889249,0.112
set8IT094,-1.741295111398372,0.164
set8IT095,-1.155969007776382,0.086
set8IT096,-0.7419776381248697,-0.222
set9IT020,-0.7520329457081726,-0.544
set9IT022,-0.4854244255978823,0.116
set9IT025,0.1224123343847231,0.277
set10IT006,0.4319643810960328,-0.33
set10IT008,21.109959238134653,4.155
set10IT010,0.1041017948701347,0.009
set10IT017,-0.3009255165173432,-0.185
set10IT018,0.6810780027112062,0.1
set10IT019,-0.1330387738124639,-0.191
set10IT020,0.3067545061841974,0.161
set10IT021,-0.149350035584415,-0.308
set10IT022,-0.3538601364240025,0.211
