,-0.21354382900101082,-0.1747176782735543,-0.1358915275460978,-0.09706537681864127,-0.05823922609118476,-0.019413075363728244,0.01941307536372827,0.05823922609118476,0.0970653768186413,0.13589152754609785,0.17471767827355433,0.21354382900101082,0.25236997972846736,0.2911961304559239,0.33002228118338034,0.3688484319108369,0.4076745826382934,0.44650073336574997,0.4853268840932065,0.5241530348206629
thresh,-0.11647845218236955,0.11647845218236955,2,,,,,,,,,,,,,,,,,
unreg,1,1,0,0,19,2475,2203,24,1,2,1,0,1,0,0,0,0,0,0,0
GcsR,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
unreg_genes,['serA'],['hutC'],[],[],[],[],[],[],[],['nfuA' 'ltaE'],['yicG'],[],['PP_0997'],[],[],[],[],[],[],[]
GcsR_genes,[],[],[],[],[],[],[],['tdcG-II'],[],[],[],[],[],['gcvP-I'],['gcvT-I'],['gcvH-I'],[],[],[],[]
