,Value,list
TF,PsrA,
reg_genes,9,['fadH' 'fadB' 'rpoS' 'PP_2144' 'algQ' 'PP_3923' 'PP_3924']
comp_genes,0,[]
both_genes,0,['PP_0368' 'pcaF-II']
reg_genes2,0,
comp_genes2,2,
both_genes2,0,
