,-0.2177362501612408,-0.18663107156677783,-0.15552589297231487,-0.1244207143778519,-0.09331553578338894,-0.06221035718892598,-0.031105178594463018,-5.551115123125783e-17,0.031105178594462907,0.06221035718892584,0.09331553578338883,0.12442071437785182,0.15552589297231476,0.1866310715667777,0.21773625016124068,0.24884142875570367,0.27994660735016663,0.31105178594462957,0.3421569645390925,0.37326214313355555
thresh,-0.23328883945847229,0.23328883945847229,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,2,2,11,254,4179,255,18,1,0,1,0,0,0,0,0,0,0
PsrA,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PsrA_genes,[],[],[],[],[],[],[],['algQ' 'fadH' 'PP_2144' 'rpoS' 'fadB' 'PP_3923'],['PP_3924'],[],[],[],[],[],[],[],[],['pcaF-II'],['PP_0368'],[]
