,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.0795,0.00777817459305203,2.0,0.0,0.085,1.0,0.074,,,,
1,set1__Glucose carbon source (20mM),-0.0215,0.07424621202458749,2.0,2.0,0.031,3.0,-0.074,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.0495,0.10394469683442249,2.0,4.0,-0.024,5.0,0.123,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.0315,0.038890872965260115,2.0,6.0,0.059,7.0,0.004,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.1065,0.07424621202458749,2.0,8.0,-0.054,9.0,-0.159,,,,
5,set5__D-Glucose carbon source,0.23149999999999998,0.0954594154601839,2.0,10.0,0.299,11.0,0.164,,,,
6,set5__Levulinic Acid carbon source,0.1185,0.06939980787677537,4.0,12.0,0.089,13.0,0.13,14.0,0.046,15.0,0.209
7,set5__Vanillin carbon source,0.217,0.13152186130069785,2.0,16.0,0.124,17.0,0.31,,,,
8,set5__p-Coumaric acid carbon source,0.202,0.06646803743153547,2.0,18.0,0.155,19.0,0.249,,,,
9,set6__D-Glucose carbon source,-0.114,,1.0,20.0,-0.114,,,,,,
10,set6__Ferulic Acid carbon source,0.048,,1.0,21.0,0.048,,,,,,
11,set6__benzoic acid carbon source,0.006,,1.0,22.0,0.006,,,,,,
12,set6__Valerolactam carbon source,0.077,,1.0,23.0,0.077,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.061,,1.0,24.0,-0.061,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.03,,1.0,25.0,-0.03,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.091,0.008485281374238568,2.0,26.0,0.085,30.0,0.097,,,,
16,set7__Valerolactam 10 mM carbon source,-0.219,,1.0,27.0,-0.219,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.167,,1.0,28.0,0.167,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.1915,0.1873832970144351,2.0,29.0,0.324,31.0,0.059,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.036,,1.0,32.0,0.036,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.083,,1.0,33.0,-0.083,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.114,,1.0,34.0,-0.114,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.07050000000000001,0.20011121907579293,2.0,35.0,-0.071,47.0,0.212,,,,
