,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.3365,0.055861435713737265,2.0,0.0,0.376,1.0,0.297,,,,
1,set1__Glucose carbon source (20mM),-0.1285,0.43911331111684604,2.0,2.0,0.182,3.0,-0.439,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.0040000000000000036,0.38608030252785497,2.0,4.0,-0.277,5.0,0.269,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.487,0.07353910524340097,2.0,6.0,0.435,7.0,0.539,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.196,0.1711198410471445,2.0,8.0,0.317,9.0,0.075,,,,
5,set5__D-Glucose carbon source,0.045500000000000006,0.126572113832392,2.0,10.0,-0.044,11.0,0.135,,,,
6,set5__Levulinic Acid carbon source,-0.24875,0.4812424025374323,4.0,12.0,-0.342,13.0,-0.291,14.0,-0.762,15.0,0.4
7,set5__Vanillin carbon source,-3.2359999999999998,0.4440630585851516,2.0,16.0,-2.922,17.0,-3.55,,,,
8,set5__p-Coumaric acid carbon source,0.36000000000000004,0.2800142853498728,2.0,18.0,0.162,19.0,0.558,,,,
9,set6__D-Glucose carbon source,-2.691,,1.0,20.0,-2.691,,,,,,
10,set6__Ferulic Acid carbon source,-1.852,,1.0,21.0,-1.852,,,,,,
11,set6__benzoic acid carbon source,-2.0,,1.0,22.0,-2.0,,,,,,
12,set6__Valerolactam carbon source,-0.717,,1.0,23.0,-0.717,,,,,,
13,set6__D-Glucuronic Acid carbon source,-2.415,,1.0,24.0,-2.415,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.427,,1.0,25.0,-0.427,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.5790000000000001,0.7113494218736669,2.0,26.0,-1.082,30.0,-0.076,,,,
16,set7__Valerolactam 10 mM carbon source,0.047,,1.0,27.0,0.047,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.355,,1.0,28.0,0.355,,,,,,
18,set7__D-Lysine 10 mM carbon source,-2.072,1.6136176746677016,2.0,29.0,-0.931,31.0,-3.213,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.199,,1.0,32.0,-0.199,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-1.608,,1.0,33.0,-1.608,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-2.948,,1.0,34.0,-2.948,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-2.9095,0.3627457787486988,2.0,35.0,-3.166,47.0,-2.653,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-2.7875,0.3160767311903868,2.0,36.0,-3.011,49.0,-2.564,,,,
