k,name,in_iM,gene_weight,regulator,function,category
2,fModule_3,False,0.0124911654345863,,,
77,fModule_78,False,-0.0112232209095243,,,
74,fModule_75,False,-0.0101586220890012,,,
18,fModule_19,False,-0.00950735240558,,,
0,fModule_1,False,-0.0092602438447123,,,
34,fModule_35,False,0.0076869099275636,,,
35,fModule_36,False,-0.0065495250472732,,,
78,fModule_79,False,0.0065029587192499,,,
56,fModule_57,False,-0.0062739521001929,,,
68,fModule_69,False,0.0061923499536181,,,
53,fModule_54,False,-0.0058315329411208,,,
39,fModule_40,False,0.0056981128134909,,,
47,fModule_48,False,0.0055343473018389,,,
36,fModule_37,False,-0.0054802467107219,,,
10,fModule_11,False,-0.005362902522361,PrpR,,
6,fModule_7,False,-0.0053363573513128,GbdR,,
61,fModule_62,False,0.0052954883480311,PP_3603,,
81,fModule_82,False,-0.0051424641542616,,,
51,fModule_52,False,-0.0046834362263077,FleQ,,
9,fModule_10,False,-0.004660637087439,,,
72,fModule_73,False,0.0045927662230936,RpoD,,
82,fModule_83,False,0.0044365303229288,,,
80,fModule_81,False,-0.0041778810334735,,,
21,fModule_22,False,-0.004136266592125,,,
7,fModule_8,False,-0.0041219995500809,GltR-II,,
69,fModule_70,False,-0.0040828177528356,,,
59,fModule_60,False,-0.0040684448562342,,,
20,fModule_21,False,-0.003832202244372,,,
31,fModule_32,False,-0.0036476581046084,,,
19,fModule_20,False,-0.0035944096476185,,,
57,fModule_58,False,0.0035378170735794,PrpR,,
22,fModule_23,False,-0.003439851680082,,,
1,fModule_2,False,0.0033694536663009,,,
58,fModule_59,False,-0.0032989677059746,,,
17,fModule_18,False,0.0032379296817157,,,
50,fModule_51,False,0.0031389716354715,,,
73,fModule_74,False,0.0030512753552712,,,
46,fModule_47,False,0.0030294686449342,,,
12,fModule_13,False,-0.0030166160330173,ModR,,
37,fModule_38,False,-0.0030005773811523,,,
25,fModule_26,False,0.0028228407098446,,,
60,fModule_61,False,0.0027777102263323,,,
5,fModule_6,False,-0.0027430437056223,GcsR,,
8,fModule_9,False,-0.002649338267822,,,
70,fModule_71,False,-0.0026353808012712,,,
71,fModule_72,False,0.002545095938717,,,
66,fModule_67,False,-0.0025269702096343,,,
11,fModule_12,False,-0.0024134069196976,BirA,,
16,fModule_17,False,-0.0023496075150233,PedR1,,
49,fModule_50,False,-0.0023008554797486,PP_2046,,
83,fModule_84,False,0.0021982553492961,,,
33,fModule_34,False,-0.0021779420587963,,,
44,fModule_45,False,0.0021107168016823,,,
24,fModule_25,False,-0.0019452080282776,PrpR,,
42,fModule_43,False,-0.0018740440637872,PhhR,,
63,fModule_64,False,-0.0018308064252692,,,
14,fModule_15,False,-0.0018086152078002,,,
38,fModule_39,False,0.0018014125109748,,,
32,fModule_33,False,-0.0017455881433996,BirA,,
48,fModule_49,False,0.0017421688439459,,,
79,fModule_80,False,0.001631088792073,,,
45,fModule_46,False,-0.0015928685308249,,,
65,fModule_66,False,-0.0015224360688105,,,
76,fModule_77,False,0.0014995638585274,PsrA,,
54,fModule_55,False,0.0014866004669469,,,
67,fModule_68,False,0.0014862864613358,,,
27,fModule_28,False,0.0014228742349791,VanR,,
26,fModule_27,False,0.0013044329181728,,,
4,fModule_5,False,0.0011607281754007,BenR,,
75,fModule_76,False,0.0011546243280099,,,
28,fModule_29,False,-0.0011431526665221,,,
15,fModule_16,False,0.0011299910734663,PcaR,,
43,fModule_44,False,0.0010452819958005,,,
30,fModule_31,False,-0.0010030973671646,,,
52,fModule_53,False,0.0009320064714482,PP_5350,,
62,fModule_63,False,-0.0006162152114062,,,
55,fModule_56,False,0.0005832769478293,PydR,,
13,fModule_14,False,0.0004038234864418,PP_3359,,
23,fModule_24,False,-0.0003898577570811,,,
64,fModule_65,False,0.0003149938446532,DctD-II,,
41,fModule_42,False,-0.0002843448832193,,,
40,fModule_41,False,-0.0001808061564643,,,
29,fModule_30,False,0.0001592338699641,HutC,,
3,fModule_4,False,-5.668888072071825e-06,,,
