,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.43000000000000005,0.048083261120685235,2.0,0.0,0.396,1.0,0.464,,,,
1,set1__Glucose carbon source (20mM),0.0015000000000000013,0.10960155108391487,2.0,2.0,0.079,3.0,-0.076,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.8035,0.04313351365237936,2.0,4.0,-0.773,5.0,-0.834,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.27649999999999997,0.017677669529663664,2.0,6.0,-0.289,7.0,-0.264,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.456,0.0834386001800126,2.0,8.0,-0.397,9.0,-0.515,,,,
5,set5__D-Glucose carbon source,0.005999999999999998,0.12162236636408616,2.0,10.0,-0.08,11.0,0.092,,,,
6,set5__Levulinic Acid carbon source,-1.47675,0.4580708642411856,4.0,12.0,-1.95,13.0,-1.575,14.0,-0.85,15.0,-1.532
7,set5__Vanillin carbon source,-2.1005000000000003,0.23829498525986664,2.0,16.0,-2.269,17.0,-1.932,,,,
8,set5__p-Coumaric acid carbon source,-0.6255,0.15768481220460007,2.0,18.0,-0.514,19.0,-0.737,,,,
9,set6__D-Glucose carbon source,-0.415,,1.0,20.0,-0.415,,,,,,
10,set6__Ferulic Acid carbon source,-2.782,,1.0,21.0,-2.782,,,,,,
11,set6__benzoic acid carbon source,-0.33,,1.0,22.0,-0.33,,,,,,
12,set6__Valerolactam carbon source,0.185,,1.0,23.0,0.185,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.173,,1.0,24.0,-0.173,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.392,,1.0,25.0,0.392,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.3195,0.2411234123846127,2.0,26.0,-0.49,30.0,-0.149,,,,
16,set7__Valerolactam 10 mM carbon source,0.885,,1.0,27.0,0.885,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.045,,1.0,28.0,0.045,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.794,0.6788225099390857,2.0,29.0,-0.314,31.0,-1.274,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.124,,1.0,32.0,-0.124,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.279,,1.0,33.0,-0.279,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.235,,1.0,34.0,-0.235,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.2165,0.3995153313703993,2.0,35.0,-0.499,47.0,0.066,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.3335,0.09687362902255703,2.0,36.0,-0.265,49.0,-0.402,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.87,,1.0,37.0,-0.87,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.246,,1.0,38.0,0.246,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-1.373,,1.0,39.0,-1.373,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.529,,1.0,40.0,0.529,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1.427,,1.0,41.0,1.427,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1.025,,1.0,42.0,1.025,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.185,,1.0,43.0,0.185,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-1.258,,1.0,44.0,-1.258,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.387,,1.0,45.0,-0.387,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.815,,1.0,46.0,0.815,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.15,,1.0,48.0,-0.15,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.969,,1.0,50.0,0.969,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,1.434,,1.0,51.0,1.434,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.27,,1.0,52.0,-0.27,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,1.138,,1.0,53.0,1.138,,,,,,
39,set10__L-Arginine carbon source,-1.376,,1.0,54.0,-1.376,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-2.571,,1.0,55.0,-2.571,,,,,,
41,set10__L-Histidine carbon source,-1.005,,1.0,56.0,-1.005,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-1.209,,1.0,57.0,-1.209,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-2.252,,1.0,58.0,-2.252,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-0.27,,1.0,59.0,-0.27,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-1.53,,1.0,60.0,-1.53,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-0.019,,1.0,61.0,-0.019,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-0.907,,1.0,62.0,-0.907,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-0.207,,1.0,63.0,-0.207,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-0.528,,1.0,64.0,-0.528,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-1.779,,1.0,65.0,-1.779,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-0.704,,1.0,66.0,-0.704,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-1.927,,1.0,67.0,-1.927,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,-1.737,,1.0,68.0,-1.737,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,-1.12,,1.0,69.0,-1.12,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,-1.23,,1.0,70.0,-1.23,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,-0.732,,1.0,71.0,-0.732,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,-2.108,,1.0,72.0,-2.108,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-0.595,,1.0,73.0,-0.595,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,-0.89,,1.0,74.0,-0.89,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-2.012,,1.0,75.0,-2.012,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,-1.527,,1.0,76.0,-1.527,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-0.186,,1.0,77.0,-0.186,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,-1.636,,1.0,78.0,-1.636,,,,,,
64,set10__Sodium butyrate carbon source,-1.06,,1.0,79.0,-1.06,,,,,,
65,set12__Vanillin carbon source,-1.687,2.2740554082959368,2.0,80.0,-0.079,97.0,-3.295,,,,
66,"set12__1,2-Propanediol carbon source",-0.18900000000000003,0.7042783540618014,2.0,81.0,-0.687,98.0,0.309,,,,
67,set12__Sodium propionate carbon source,-0.409,0.8089301576774104,2.0,82.0,0.163,99.0,-0.981,,,,
68,set12__2-methyl-1-butanol carbon source,-0.8905000000000001,0.4391133111168461,2.0,83.0,-1.201,100.0,-0.58,,,,
69,"set12__1,5-Pentanediol carbon source",-0.607,1.5216937931134504,2.0,84.0,0.469,101.0,-1.683,,,,
70,"set12__1,4-Butanediol carbon source",0.631,0.6066976182580578,2.0,85.0,0.202,102.0,1.06,,,,
71,set12__Vanillic Acid carbon source,-1.425,1.1327850634608492,2.0,86.0,-0.624,103.0,-2.226,,,,
72,set12__Protocatechuic Acid carbon source,-0.8685,0.30334880912902884,2.0,87.0,-1.083,89.0,-0.654,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-0.6050000000000001,0.7113494218736669,2.0,88.0,-0.102,104.0,-1.108,,,,
74,set12__L-Lysine carbon source,-0.6035,1.1561195872400052,2.0,90.0,-1.421,105.0,0.214,,,,
75,set12__p-Coumaric acid carbon source,-1.5065,0.15768481220460015,2.0,91.0,-1.395,106.0,-1.618,,,,
76,set12__benzoic acid carbon source,-0.40249999999999997,1.2848130214159568,2.0,92.0,-1.311,107.0,0.506,,,,
77,set12__Ferulic Acid carbon source,-0.7170000000000001,1.100258151526268,2.0,93.0,0.061,108.0,-1.495,,,,
78,set12__D-Glucose carbon source,-0.3545,0.8280220407694471,2.0,94.0,0.231,109.0,-0.94,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.6295,1.0811662684342311,2.0,95.0,-1.394,110.0,0.135,,,,
80,set12__Phenylacetic acid carbon source,-1.8094999999999999,0.5381082604829626,2.0,96.0,-2.19,111.0,-1.429,,,,
81,set15__Butyl stearate carbon source,-0.9565,1.1730901499884823,2.0,112.0,-1.786,124.0,-0.127,,,,
82,set15__Hexanoic acid carbon source,-2.7975000000000003,0.20576807332528527,2.0,113.0,-2.943,125.0,-2.652,,,,
83,set15__Decanoic acid carbon source,-1.5005,1.5676557338905757,2.0,114.0,-0.392,126.0,-2.609,,,,
84,set15__Lauric acid carbon source,-0.855,0.5784133470105959,2.0,115.0,-1.264,127.0,-0.446,,,,
85,set15__Valeric acid carbon source,-0.29500000000000004,0.22910259710444142,2.0,116.0,-0.133,128.0,-0.457,,,,
86,set15__Octanoic acid carbon source,-1.0114999999999998,1.6567511883200807,2.0,117.0,0.16,129.0,-2.183,,,,
87,set15__Nonanoic acid carbon source,-0.359,0.0028284271247461927,2.0,118.0,-0.357,130.0,-0.361,,,,
88,set15__Tween 20 carbon source,-2.27,1.8596908345206198,2.0,119.0,-0.955,131.0,-3.585,,,,
89,set15__Myristic acid carbon source,-0.1195,0.8393357492684318,2.0,120.0,0.474,132.0,-0.713,,,,
