,-0.12875561455420273,-0.10300449164336219,-0.07725336873252164,-0.0515022458216811,-0.025751122910840557,-2.7755575615628914e-17,0.02575112291084053,0.051502245821681086,0.07725336873252162,0.10300449164336214,0.12875561455420267,0.15450673746504326,0.1802578603758838,0.20600898328672432,0.2317601061975649,0.2575112291084054,0.283262352019246,0.30901347493008646,0.33476459784092705,0.36051572075176763
thresh,-0.141631176009623,0.141631176009623,1,,,,,,,,,,,,,,,,,
unreg,1,4,4,28,351,4007,295,28,4,2,3,2,2,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['PP_1778' 'PP_3484'],['lhgO' 'PP_0406'],[],[],[],[],['mpl'],[],[]
