,-0.14276011282569628,-0.09517340855046419,-0.047586704275232095,0.0,0.047586704275232095,0.09517340855046419,0.14276011282569628,0.19034681710092838,0.23793352137616047,0.28552022565139257,0.33310692992662466,0.3806936342018568,0.42828033847708885,0.4758670427523209,0.5234537470275531,0.5710404513027851,0.6186271555780172,0.6662138598532492,0.7138005641284815,0.7613872684037135
thresh,-0.07138005641284814,0.07138005641284814,2,,,,,,,,,,,,,,,,,
unreg,1,1,37,4639,40,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PrpR,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
unreg_genes,['ppx'],['zwfA'],[],[],[],['PP_3491' 'pycB' 'PP_4668' 'mmsB' 'mmsA-II'],['PP_5188' 'panB' 'PP_2217'],[],[],[],[],[],[],[],[],[],[],[],[],[]
PrpR_genes,[],[],[],['prpD'],['PP_2333'],['prpC'],['mmgF'],[],[],[],[],[],[],['acnA-II'],[],['prpF'],[],[],[],[]
