,-0.07593579071182369,-0.05906117055364064,-0.0421865503954576,-0.025311930237274557,-0.008437310079091515,0.008437310079091528,0.02531193023727457,0.042186550395457614,0.05906117055364066,0.07593579071182369,0.09281041087000674,0.1096850310281898,0.12655965118637283,0.14343427134455586,0.16030889150273891,0.17718351166092197,0.194058131819105,0.21093275197728803,0.22780737213547106,0.24468199229365414
thresh,-0.0843731007909152,0.0843731007909152,1,,,,,,,,,,,,,,,,,
unreg,0,1,10,100,2604,1900,82,10,1,2,1,1,1,2,3,2,7,5,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['pduO'],['eutB'],['eutC'],['cobH' 'cobK'],['cobC' 'cobU' 'PP_3409'],['PP_3506' 'cobJ'],['cobL' 'cobD' 'cobI' 'cobN' 'cobW' 'PP_3505' 'cobS'],['cobQ' 'cobG' 'cobP' 'cobB' 'cobO'],[],[]
