,-0.099749099236974,-0.0598494595421844,-0.0199498198473948,0.0199498198473948,0.0598494595421844,0.099749099236974,0.1396487389317636,0.1795483786265532,0.2194480183213428,0.2593476580161324,0.299247297710922,0.3391469374057116,0.3790465771005012,0.4189462167952908,0.4588458564900804,0.49874549618487,0.5386451358796596,0.5785447755744493,0.6184444152692388,0.6583440549640285
thresh,-0.0797992793895792,0.0797992793895792,2,,,,,,,,,,,,,,,,,
unreg,1,9,2565,2135,12,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
BirA,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,['putA'],[],[],[],[],['bioA'],[],[],[],[],[],[],[],['PP_5348'],['pycB'],['pycA'],[],[],[],[]
BirA_genes,[],[],['PP_0361'],[],['bioD'],['bioH' 'bioC' 'bioF'],['bioB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
