,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),-6.413788681763031,0.37642456966041055,2.0,0.0,-6.147616315950927,1.0,-6.679961047575135,,,,
1,set1__Glucose carbon source (20mM),-6.027624269499496,0.08000815982680662,2.0,2.0,-5.971049957135704,3.0,-6.084198581863288,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-3.218747854612957,0.6166312713355475,2.0,4.0,-2.782723701159909,5.0,-3.654772008066004,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-2.8593804121812108,0.28793709608200374,2.0,6.0,-3.062982685375958,7.0,-2.6557781389864634,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-1.9091348446976977,0.14767981125562143,2.0,8.0,-2.013560240680897,9.0,-1.8047094487144983,,,,
5,set5__D-Glucose carbon source,-5.287768299102697,0.34582254783819316,2.0,10.0,-5.532301767766293,11.0,-5.0432348304391015,,,,
6,set5__Levulinic Acid carbon source,-6.860525586896848,1.1578326539456962,4.0,12.0,-6.381373017141666,13.0,-5.453890885913498,14.0,-7.9365060008647905,15.0,-7.670332443667439
7,set5__Vanillin carbon source,-0.779688579079528,0.10457750993870663,2.0,16.0,-0.705741112642265,17.0,-0.8536360455167911,,,,
8,set5__p-Coumaric acid carbon source,-1.5619692672567487,0.065107259038215,2.0,18.0,-1.6080070516271396,19.0,-1.5159314828863577,,,,
9,set6__D-Glucose carbon source,-2.625902696114512,,1.0,20.0,-2.625902696114512,,,,,,
10,set6__Ferulic Acid carbon source,-0.8184540683438728,,1.0,21.0,-0.8184540683438728,,,,,,
11,set6__benzoic acid carbon source,-0.4759857431580805,,1.0,22.0,-0.4759857431580805,,,,,,
12,set6__Valerolactam carbon source,-0.258474913304853,,1.0,23.0,-0.258474913304853,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.0234251918680651,,1.0,24.0,0.0234251918680651,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,1.3921885675536043,,1.0,25.0,1.3921885675536043,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.46894283826438676,1.1795548393058681,2.0,26.0,0.3651283873902009,30.0,-1.3030140639189745,,,,
16,set7__Valerolactam 10 mM carbon source,-0.093071493306407,,1.0,27.0,-0.093071493306407,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.4503608025201317,,1.0,28.0,0.4503608025201317,,,,,,
18,set7__D-Lysine 10 mM carbon source,-5.84336314321852,1.3629375008938933,2.0,29.0,-4.879620794003002,31.0,-6.807105492434038,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.489994470462253,,1.0,32.0,-0.489994470462253,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-1.140908043068452,,1.0,33.0,-1.140908043068452,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-4.038360530746121,,1.0,34.0,-4.038360530746121,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-4.829251037739261,1.0372110323559227,2.0,35.0,-4.095832083238888,47.0,-5.562669992239633,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-4.5546497938417945,1.5090934870842028,2.0,36.0,-3.487559555680101,49.0,-5.621740032003488,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.953315320150856,,1.0,37.0,-0.953315320150856,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-4.2762475101377895,,1.0,38.0,-4.2762475101377895,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.7739382373061868,,1.0,39.0,-0.7739382373061868,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.8089264846030612,,1.0,40.0,-0.8089264846030612,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-4.0626306294498935,,1.0,41.0,-4.0626306294498935,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-3.7546749513235538,,1.0,42.0,-3.7546749513235538,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-2.997348823359953,,1.0,43.0,-2.997348823359953,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-1.197104175059852,,1.0,44.0,-1.197104175059852,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-3.184460066286831,,1.0,45.0,-3.184460066286831,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-6.424967015780785,,1.0,46.0,-6.424967015780785,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-6.531820546234968,,1.0,48.0,-6.531820546234968,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-5.9044514930923295,,1.0,50.0,-5.9044514930923295,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-2.6598575914264724,,1.0,51.0,-2.6598575914264724,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-3.065035448561991,,1.0,52.0,-3.065035448561991,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-1.6765450589219446,,1.0,53.0,-1.6765450589219446,,,,,,
39,set10__L-Arginine carbon source,-0.199030365040408,,1.0,54.0,-0.199030365040408,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.3609058994384064,,1.0,55.0,-0.3609058994384064,,,,,,
41,set10__L-Histidine carbon source,0.9040424821403916,,1.0,56.0,0.9040424821403916,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-1.484421596534431,,1.0,57.0,-1.484421596534431,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-1.2511933419492487,,1.0,58.0,-1.2511933419492487,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-1.5605763931810148,,1.0,59.0,-1.5605763931810148,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-1.5527248444205772,,1.0,60.0,-1.5527248444205772,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-0.4330659126685974,,1.0,61.0,-0.4330659126685974,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-1.3757558055311807,,1.0,62.0,-1.3757558055311807,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-1.6236069966307665,,1.0,63.0,-1.6236069966307665,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-1.7379054434131256,,1.0,64.0,-1.7379054434131256,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-1.4656965143904843,,1.0,65.0,-1.4656965143904843,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-1.9697078546363065,,1.0,66.0,-1.9697078546363065,,,,,,
