,-0.10977467079593581,-0.08781973663674865,-0.06586480247756149,-0.04390986831837433,-0.021954934159187173,-1.3877787807814457e-17,0.021954934159187145,0.04390986831837432,0.06586480247756146,0.08781973663674861,0.10977467079593578,0.13172960495512295,0.1536845391143101,0.17563947327349724,0.19759440743268444,0.2195493415918716,0.24150427575105873,0.26345920991024585,0.285414144069433,0.30736907822862025
thresh,-0.1207521378755294,0.1207521378755294,1,,,,,,,,,,,,,,,,,
unreg,1,2,4,20,310,4069,280,24,5,3,1,2,0,6,0,2,0,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['PP_1364' 'PP_5232'],[],['PP_2245' 'relA' 'yeaG' 'ycgB' 'PP_4754' 'PP_0396'],[],['putA' 'PP_5331'],[],['rpoS' 'PP_3654' 'PP_3653'],[],[]
