,-0.21191801968610252,-0.17659834973841876,-0.141278679790735,-0.10595900984305123,-0.07063933989536747,-0.03531966994768371,5.551115123125783e-17,0.03531966994768382,0.07063933989536758,0.10595900984305134,0.1412786797907351,0.17659834973841887,0.21191801968610263,0.2472376896337864,0.28255735958147016,0.3178770295291539,0.3531966994768377,0.38851636942452145,0.4238360393722052,0.45915570931988897
thresh,-0.12361884481689314,0.12361884481689314,2,,,,,,,,,,,,,,,,,
unreg,2,1,0,3,6,123,4439,143,6,2,2,1,0,0,1,0,0,0,0,0
VanR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
unreg_genes,['purN' 'pobA'],['pobR'],[],[],[],[],[],[],[],[],['znuB' 'gshB'],['PP_1615'],[],[],['frmA'],[],[],[],[],[]
VanR_genes,[],[],[],[],[],['PP_3740'],[],[],[],[],[],[],[],[],[],['vanB'],[],['vanA'],[],[]
