,-0.2927687420536268,-0.24397395171135566,-0.19517916136908453,-0.1463843710268134,-0.09758958068454227,-0.04879479034227113,0.0,0.04879479034227113,0.09758958068454227,0.1463843710268134,0.19517916136908453,0.2439739517113556,0.2927687420536268,0.341563532395898,0.39035832273816906,0.43915311308044014,0.4879479034227113,0.5367426937649825,0.5855374841072536,0.6343322744495247
thresh,-0.3171661372247624,0.3171661372247624,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,74,4549,98,8,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['serA'],[],[]
