,-0.09047262968982143,-0.07036760086986112,-0.0502625720499008,-0.03015754322994048,-0.01005251440998016,0.01005251440998016,0.03015754322994048,0.0502625720499008,0.07036760086986112,0.09047262968982143,0.11057765850978175,0.1306826873297421,0.15078771614970238,0.17089274496966272,0.19099777378962302,0.2111028026095833,0.23120783142954365,0.251312860249504,0.2714178890694643,0.2915229178894246
thresh,-0.1005251440998016,0.1005251440998016,1,,,,,,,,,,,,,,,,,
unreg,1,0,7,68,2586,1972,60,20,2,0,1,2,1,0,4,3,2,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['paaI'],['PP_3494' 'PP_3493'],['PP_3273'],[],['paaA' 'paaE' 'paaJ' 'actP-III'],['paaZ' 'paaB' 'paaG'],['paaC' 'paaK'],['paaY' 'paaH' 'paaF'],[],[]
