,-0.13576840626346784,-0.10182630469760087,-0.0678842031317339,-0.03394210156586694,2.7755575615628914e-17,0.033942101565866994,0.06788420313173396,0.10182630469760093,0.1357684062634679,0.16971050782933486,0.20365260939520183,0.2375947109610688,0.27153681252693573,0.3054789140928027,0.33942101565866967,0.37336311722453663,0.4073052187904036,0.44124732035627057,0.47518942192213753,0.5091315234880045
thresh,-0.0848552539146674,0.0848552539146674,1,,,,,,,,,,,,,,,,,
unreg,1,4,9,142,4386,155,21,10,0,1,1,0,1,0,1,0,0,0,0,0
unreg_genes,['argG'],['PP_4696' 'leuA' 'PP_0856' 'rppH'],[],[],[],[],[],"['PP_4515' 'PP_3649' 'rpoS' 'pykA' 'glgB' 'PP_4539' 'oprB-II' 'PP_0949'
 'miaA' 'cysB']",[],['PP_3662'],['PP_5331'],[],['PP_3248'],[],['polA'],[],[],[],[],[]
