k,name,in_iM,gene_weight,regulator,function,category
61,fModule_62,False,0.0102813080278026,PP_3603,,
64,fModule_65,False,-0.0081725879710423,DctD-II,,
81,fModule_82,False,0.0079903791592597,,,
6,fModule_7,False,-0.0073150389328363,GbdR,,
72,fModule_73,False,0.0071773213386408,RpoD,,
9,fModule_10,False,-0.0071215337130853,,,
22,fModule_23,False,-0.0063551957620563,,,
44,fModule_45,False,-0.0062561997935838,,,
55,fModule_56,False,0.0061572905549431,PydR,,
83,fModule_84,False,0.006093101030483,,,
5,fModule_6,False,-0.0057958059308914,GcsR,,
29,fModule_30,False,-0.0057119220106902,HutC,,
32,fModule_33,False,-0.0056888645112773,BirA,,
73,fModule_74,False,0.0056789201799934,,,
18,fModule_19,False,-0.0049498508313557,,,
10,fModule_11,False,-0.0048338016652857,PrpR,,
35,fModule_36,False,0.0048163748690649,,,
23,fModule_24,False,0.0048073663800157,,,
56,fModule_57,False,-0.0043720350637315,,,
51,fModule_52,False,0.0042738811098481,FleQ,,
49,fModule_50,False,-0.0038065704324429,PP_2046,,
31,fModule_32,False,0.0036706571695132,,,
13,fModule_14,False,0.0036534497604628,PP_3359,,
43,fModule_44,False,-0.0035766755402191,,,
58,fModule_59,False,0.0035601218936514,,,
7,fModule_8,False,-0.0035219987336907,GltR-II,,
2,fModule_3,False,-0.0034837710179559,,,
79,fModule_80,False,0.0033398634171523,,,
59,fModule_60,False,0.0032940952142789,,,
16,fModule_17,False,-0.003247748810339,PedR1,,
0,fModule_1,False,-0.0031605010844647,,,
41,fModule_42,False,-0.0031062339708579,,,
15,fModule_16,False,-0.0030278121165402,PcaR,,
25,fModule_26,False,0.0029440803501396,,,
57,fModule_58,False,0.002884263462026,PrpR,,
45,fModule_46,False,0.002871331686041,,,
54,fModule_55,False,0.0028550271132643,,,
65,fModule_66,False,-0.0027171667661375,,,
63,fModule_64,False,-0.0026783227007274,,,
75,fModule_76,False,0.0026396980215007,,,
30,fModule_31,False,-0.0025974356550373,,,
20,fModule_21,False,-0.0025812192897602,,,
27,fModule_28,False,-0.0024737370221461,VanR,,
70,fModule_71,False,-0.0024571169929707,,,
76,fModule_77,False,-0.0024432576365397,PsrA,,
47,fModule_48,False,0.0024324057142851,,,
66,fModule_67,False,0.0023918846821472,,,
69,fModule_70,False,-0.0023837843064313,,,
62,fModule_63,False,-0.0020721646796281,,,
40,fModule_41,False,0.0019966638254915,,,
74,fModule_75,False,0.0019787565439248,,,
48,fModule_49,False,-0.0017309529668752,,,
36,fModule_37,False,-0.0017240397665153,,,
34,fModule_35,False,0.0017218582689513,,,
1,fModule_2,False,-0.0016951799078935,,,
37,fModule_38,False,-0.0013922316264846,,,
14,fModule_15,False,-0.0011791784044265,,,
26,fModule_27,False,-0.0011772215507107,,,
4,fModule_5,False,-0.0011242105947422,BenR,,
77,fModule_78,False,0.001114784605885,,,
33,fModule_34,False,0.0010894989533038,,,
50,fModule_51,False,-0.0010498270549512,,,
12,fModule_13,False,0.0010009377505525,ModR,,
68,fModule_69,False,-0.0009531420891846,,,
8,fModule_9,False,0.0009206102453145,,,
82,fModule_83,False,0.0006956183514678,,,
3,fModule_4,False,-0.0006620872975095,,,
38,fModule_39,False,-0.0006441891400757,,,
39,fModule_40,False,-0.0006028072795293,,,
53,fModule_54,False,0.0005921966215711,,,
17,fModule_18,False,0.0005898841012578,,,
42,fModule_43,False,-0.0005188438625532,PhhR,,
71,fModule_72,False,0.0004676731733611,,,
78,fModule_79,False,-0.0003941696465873,,,
11,fModule_12,False,0.0003564137248205,BirA,,
52,fModule_53,False,-0.0003548776328612,PP_5350,,
46,fModule_47,False,-0.0003537505319925,,,
21,fModule_22,False,-0.000343437069536,,,
19,fModule_20,False,0.0003162648389857,,,
28,fModule_29,False,0.0001629193139394,,,
80,fModule_81,False,-0.000159561824921,,,
24,fModule_25,False,7.867828267889214e-05,PrpR,,
67,fModule_68,False,-5.633118740364337e-05,,,
60,fModule_61,False,4.583173743280496e-05,,,
