,-0.08379714195449005,-0.06517555485349226,-0.04655396775249447,-0.027932380651496683,-0.009310793550498894,0.009310793550498894,0.027932380651496683,0.04655396775249447,0.06517555485349226,0.08379714195449005,0.10241872905548784,0.12104031615648563,0.1396619032574834,0.15828349035848122,0.17690507745947898,0.19552666456047674,0.21414825166147455,0.23276983876247237,0.25139142586347013,0.2700130129644679
thresh,-0.09310793550498894,0.09310793550498894,1,,,,,,,,,,,,,,,,,
unreg,1,5,21,135,2412,1957,141,30,10,8,5,3,0,2,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['PP_1941' 'uvrC' 'PP_4504' 'PP_0164' 'PP_2499'],['PP_1214' 'PP_5659' 'PP_4254'],[],['yigZ' 'PP_5240'],[],[],['PP_5274'],['tatB'],[],[]
