,-0.0614305838349216,-6.938893903907228e-18,0.06143058383492159,0.12286116766984319,0.1842917515047648,0.24572233533968635,0.30715291917460796,0.3685835030095295,0.43001408684445114,0.4914446706793727,0.5528752545142943,0.6143058383492159,0.6757364221841375,0.7371670060190592,0.7985975898539807,0.8600281736889023,0.9214587575238239,0.9828893413587454,1.044319925193667,1.1057505090285886
thresh,-0.0921458757523824,0.0921458757523824,1,,,,,,,,,,,,,,,,,
unreg,21,4680,25,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['galU' 'PP_2414' 'dsbA'],['PP_3484'],[],['PP_0164'],[],[],[],[],[],['PP_4364'],[],[],[],[],[],[],[]
