,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),-2.0007446846544656,0.5440036607330438,2.0,0.0,-1.6160760071598244,1.0,-2.385413362149107,,,,
1,set1__Glucose carbon source (20mM),-1.4092983747994472,0.6318624825927324,2.0,2.0,-0.9625041285807592,3.0,-1.856092621018135,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.9360509352757537,0.13831526124148277,2.0,4.0,-1.033854594441195,5.0,-0.8382472761103124,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-2.928806318293485,0.012463193758907094,2.0,6.0,-2.91999350947132,7.0,-2.93761912711565,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-4.792826558744169,2.7790217220896234,2.0,8.0,-2.827761453989879,9.0,-6.757891663498459,,,,
5,set5__D-Glucose carbon source,-0.14811571507101978,0.27883075352657805,2.0,10.0,-0.345278831693018,11.0,0.0490474015509784,,,,
6,set5__Levulinic Acid carbon source,0.6256765820449361,0.6075673856606411,4.0,12.0,-0.232972094340168,13.0,1.1997397404678454,14.0,0.7748201264640531,15.0,0.7611185555880141
7,set5__Vanillin carbon source,-0.2089477667981989,0.07823251690430096,2.0,16.0,-0.2642665100105213,17.0,-0.1536290235858765,,,,
8,set5__p-Coumaric acid carbon source,0.2984591755604773,0.5372516295398583,2.0,18.0,0.6783534460116339,19.0,-0.0814350948906793,,,,
9,set6__D-Glucose carbon source,-8.121508969955773,,1.0,20.0,-8.121508969955773,,,,,,
10,set6__Ferulic Acid carbon source,-5.746918435413563,,1.0,21.0,-5.746918435413563,,,,,,
11,set6__benzoic acid carbon source,-3.9350924334725015,,1.0,22.0,-3.9350924334725015,,,,,,
12,set6__Valerolactam carbon source,-3.159429982020523,,1.0,23.0,-3.159429982020523,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.5110759549048322,,1.0,24.0,-0.5110759549048322,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-3.118682130706103,,1.0,25.0,-3.118682130706103,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-3.9612285096531488,0.5824247476778048,2.0,26.0,-4.3730649982669885,30.0,-3.549392021039309,,,,
16,set7__Valerolactam 10 mM carbon source,0.6807863168479674,,1.0,27.0,0.6807863168479674,,,,,,
17,set7__L-Lysine 10 mM carbon source,-2.4247127888467954,,1.0,28.0,-2.4247127888467954,,,,,,
18,set7__D-Lysine 10 mM carbon source,-2.153507163435602,0.5342770717211264,2.0,29.0,-2.5312981038821016,31.0,-1.775716222989102,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.7800702296829162,,1.0,32.0,-0.7800702296829162,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.0777152958229513,,1.0,33.0,0.0777152958229513,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-1.318481903799331,,1.0,34.0,-1.318481903799331,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.061927014993474916,0.7992735115881494,2.0,35.0,-0.5032447050732901,47.0,0.6270987350602399,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.06816579407963033,0.6109806985915788,2.0,36.0,-0.5001943892278298,49.0,0.3638628010685691,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.9882436366369606,,1.0,37.0,0.9882436366369606,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.3927673923449638,,1.0,38.0,0.3927673923449638,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.334345445169199,,1.0,39.0,-0.334345445169199,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.7101250798134652,,1.0,40.0,-0.7101250798134652,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-1.621457218826331,,1.0,41.0,-1.621457218826331,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.8307125889164384,,1.0,42.0,-0.8307125889164384,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.2110684930824889,,1.0,43.0,-0.2110684930824889,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,1.758833363288271,,1.0,44.0,1.758833363288271,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,2.754691425588768,,1.0,45.0,2.754691425588768,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.7284861600087453,,1.0,46.0,0.7284861600087453,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.1799549180111031,,1.0,48.0,0.1799549180111031,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,1.3487403049301738,,1.0,50.0,1.3487403049301738,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-1.7016720231617084,,1.0,51.0,-1.7016720231617084,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-1.5641628332004849,,1.0,52.0,-1.5641628332004849,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-1.3205610098169074,,1.0,53.0,-1.3205610098169074,,,,,,
39,set10__L-Arginine carbon source,-3.697417394068131,,1.0,54.0,-3.697417394068131,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-1.55397309971905,,1.0,55.0,-1.55397309971905,,,,,,
41,set10__L-Histidine carbon source,0.8091837730370149,,1.0,56.0,0.8091837730370149,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-0.6339855823292999,,1.0,57.0,-0.6339855823292999,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-1.686699790121672,,1.0,58.0,-1.686699790121672,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-1.95017735380818,,1.0,59.0,-1.95017735380818,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-1.8801012928300465,,1.0,60.0,-1.8801012928300465,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-1.2333528320140317,,1.0,61.0,-1.2333528320140317,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-0.6418327740249526,,1.0,62.0,-0.6418327740249526,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-1.13107340549173,,1.0,63.0,-1.13107340549173,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-3.185408609036802,,1.0,64.0,-3.185408609036802,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-1.408035021628978,,1.0,65.0,-1.408035021628978,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-2.8605894932946416,,1.0,66.0,-2.8605894932946416,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-2.282481247955768,,1.0,67.0,-2.282481247955768,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,-2.581382797909689,,1.0,68.0,-2.581382797909689,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,-1.9793935091255608,,1.0,69.0,-1.9793935091255608,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,-0.977127649315562,,1.0,70.0,-0.977127649315562,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,-2.123672902722081,,1.0,71.0,-2.123672902722081,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,-0.015037025108645,,1.0,72.0,-0.015037025108645,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-2.66424368583306,,1.0,73.0,-2.66424368583306,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,-1.6296243927837049,,1.0,74.0,-1.6296243927837049,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-2.7960427367190994,,1.0,75.0,-2.7960427367190994,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,-2.1770503398536105,,1.0,76.0,-2.1770503398536105,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-2.460980479246039,,1.0,77.0,-2.460980479246039,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,-2.7259704610308124,,1.0,78.0,-2.7259704610308124,,,,,,
64,set10__Sodium butyrate carbon source,-6.123760657705133,,1.0,79.0,-6.123760657705133,,,,,,
65,set12__Vanillin carbon source,-8.299777688757008,3.3164968924739044,2.0,80.0,-5.954660246304599,97.0,-10.644895131209418,,,,
66,"set12__1,2-Propanediol carbon source",-9.614591138159836,2.3470065779741054,2.0,81.0,-7.955006871384913,98.0,-11.27417540493476,,,,
67,set12__Sodium propionate carbon source,-6.09221157668401,2.7175918014599665,2.0,82.0,-4.1705839853747015,99.0,-8.013839167993318,,,,
68,set12__2-methyl-1-butanol carbon source,-5.705771215207762,2.616101211506319,2.0,83.0,-3.8559083082813017,100.0,-7.555634122134223,,,,
69,"set12__1,5-Pentanediol carbon source",-6.40700450280243,1.6567334037975032,2.0,84.0,-5.235517078358945,101.0,-7.578491927245915,,,,
70,"set12__1,4-Butanediol carbon source",-8.429320637428527,2.9456029140554416,2.0,85.0,-6.346464842217069,102.0,-10.512176432639984,,,,
71,set12__Vanillic Acid carbon source,-5.113382891546339,0.4284306185262488,2.0,86.0,-4.810436695918481,103.0,-5.416329087174196,,,,
72,set12__Protocatechuic Acid carbon source,-9.536351567675712,1.284663473772337,2.0,87.0,-10.4447458215228,89.0,-8.627957313828627,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-6.165242321677281,0.7992453620510233,2.0,88.0,-5.6000905063391055,104.0,-6.730394137015457,,,,
74,set12__L-Lysine carbon source,-8.625113691928703,4.018825165633895,2.0,90.0,-5.783375164905826,105.0,-11.46685221895158,,,,
75,set12__p-Coumaric acid carbon source,-6.104913561804184,0.10923780074863079,2.0,91.0,-6.182156351475446,106.0,-6.027670772132923,,,,
76,set12__benzoic acid carbon source,-6.132768896589246,1.5061707271758062,2.0,92.0,-7.197792431399932,107.0,-5.06774536177856,,,,
77,set12__Ferulic Acid carbon source,-8.113842750327489,3.9754960175238705,2.0,93.0,-10.924942942898731,108.0,-5.302742557756246,,,,
78,set12__D-Glucose carbon source,-9.336413019186834,3.7230731135154707,2.0,94.0,-11.969023264606935,109.0,-6.703802773766731,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,-8.180595434253734,0.4859686370916601,2.0,95.0,-8.524227152985231,110.0,-7.836963715522237,,,,
80,set12__Phenylacetic acid carbon source,-8.312710964531139,2.814741921531098,2.0,96.0,-10.303034064535831,111.0,-6.322387864526447,,,,
81,set15__Butyl stearate carbon source,-2.0946932817653323,0.4223706531243264,2.0,112.0,-1.7960321287669303,124.0,-2.3933544347637348,,,,
82,set15__Hexanoic acid carbon source,-2.7879317495302782,1.773115803399741,2.0,113.0,-1.5341495411172883,125.0,-4.041713957943268,,,,
83,set15__Decanoic acid carbon source,-2.6030911659861236,0.3558815917134841,2.0,114.0,-2.8547374527861904,126.0,-2.3514448791860567,,,,
84,set15__Lauric acid carbon source,-0.979089903319818,0.5285303935360816,2.0,115.0,-0.6053624779872602,127.0,-1.352817328652376,,,,
85,set15__Valeric acid carbon source,-5.446136241132356,6.5013789806636355,2.0,116.0,-10.043305405423297,128.0,-0.8489670768414157,,,,
86,set15__Octanoic acid carbon source,-1.5933034697285549,0.14643371549271586,2.0,117.0,-1.489759196509314,129.0,-1.696847742947796,,,,
87,set15__Nonanoic acid carbon source,-3.909460246367756,1.5507018463845441,2.0,118.0,-2.812948455190745,130.0,-5.005972037544767,,,,
88,set15__Tween 20 carbon source,-5.171309294735134,2.531736072403729,2.0,119.0,-6.961517039706407,131.0,-3.381101549763861,,,,
89,set15__Myristic acid carbon source,-1.3928467543433753,1.0345825291683526,2.0,120.0,-2.1244070764154466,132.0,-0.6612864322713041,,,,
90,set15__Sodium butyrate carbon source,-4.225429953598157,1.3276075419614501,2.0,121.0,-5.164190249273502,133.0,-3.286669657922811,,,,
91,set15__Oleic acid carbon source,0.6123443710330149,0.2038665712112598,2.0,122.0,0.4681889360722829,134.0,0.7564998059937469,,,,
92,set15__Heptanoic acid carbon source,-5.96689450318067,0.943423834365719,2.0,123.0,-6.633995893993684,135.0,-5.299793112367656,,,,
93,set16__Butanol carbon source,-6.350741694730239,2.6331084610071964,2.0,136.0,-8.212630543108101,137.0,-4.488852846352376,,,,
94,"set16__1,3-Butandiol carbon source",-1.6063808621584255,1.4877187054799355,2.0,138.0,-2.65835684730136,139.0,-0.5544048770154909,,,,
95,set16__3-methyl-3-butenol carbon source,-4.154502664806564,0.8447115594249464,2.0,140.0,-3.557201392990521,141.0,-4.751803936622607,,,,
96,set16__3-methyl-1-butanol carbon source,-4.789759349850099,0.3857329443462635,2.0,142.0,-5.062513730524396,143.0,-4.517004969175804,,,,
97,set16__1-Pentanol carbon source,-7.190789726329674,3.379828371219752,2.0,144.0,-9.580689286865844,145.0,-4.800890165793503,,,,
98,set16__Ethanol carbon source,-5.980293950353447,2.30775102559323,2.0,146.0,-4.348467550866264,147.0,-7.612120349840629,,,,
99,set27__Ammonium chloride nitrogen source,-3.2258675303952193,0.026039351954160316,2.0,148.0,-3.2442801327397093,149.0,-3.2074549280507294,,,,
100,set27__6-aminocaproic acid nitrogen source,-3.364015253572402,1.1813894675396186,2.0,150.0,-2.528646749852773,151.0,-4.199383757292031,,,,
101,set27__Urea nitrogen source,-3.646447813656989,0.11248065161464509,2.0,152.0,-3.7259836451659862,153.0,-3.566911982147992,,,,
102,set27__Sodium nitrite nitrogen source,-6.020882502763761,0.5790254985924022,2.0,154.0,-6.43031535929837,155.0,-5.611449646229151,,,,
103,set27__Valerolactam nitrogen source,-0.9353254388697694,0.7349691104592849,2.0,156.0,-0.4156237969013643,157.0,-1.4550270808381744,,,,
104,set27__4-aminobutyric acid nitrogen source,-8.001996162653388,1.0319420266826238,2.0,158.0,-8.731689367512061,159.0,-7.272302957794716,,,,
105,set27__Sodium nitrate nitrogen source,-6.890878216842323,2.437500585476409,2.0,160.0,-8.614451409978871,161.0,-5.167305023705774,,,,
106,set27__5-Aminovaleric acid nitrogen source,-7.969229203089852,2.1018300067105367,2.0,162.0,-9.45544745373624,163.0,-6.483010952443465,,,,
107,set27__Caprolactam nitrogen source,-2.631302452186863,0.7170371394402519,2.0,164.0,-2.1242806285260567,165.0,-3.138324275847669,,,,
108,set27__Hydantoin nitrogen source,-0.09529624534553605,0.04304991686467421,2.0,166.0,-0.1257371334900643,167.0,-0.0648553572010078,,,,
109,set27__DL-2-Aminobutyric acid nitrogen source,-2.37160301974187,0.27762252563989087,2.0,168.0,-2.567911790231973,169.0,-2.175294249251767,,,,
110,set27__3-aminobutyric acid nitrogen source,-1.3924519415293273,0.12857747017705565,2.0,170.0,-1.4833699425993343,171.0,-1.30153394045932,,,,
111,set27__D-Lysine nitrogen source,-0.8859693595781984,0.03397113169191413,2.0,172.0,-0.8619481419942647,173.0,-0.9099905771621322,,,,
112,set27__D-Alanine nitrogen source,-0.8834599175625524,0.11303427936913435,2.0,174.0,-0.963387223011002,175.0,-0.8035326121141029,,,,
113,set27__L-Arginine nitrogen source,-0.36353114290846666,0.36150875359761764,2.0,176.0,-0.1079058517812945,177.0,-0.6191564340356388,,,,
114,set27__L-Aspartate nitrogen source,-6.070467184731778,2.101227499771772,2.0,178.0,-4.584674970827503,179.0,-7.556259398636053,,,,
115,set27__Beta-alanine nitrogen source,-5.4866642545333715,1.4867663960021957,2.0,180.0,-6.537966855186808,181.0,-4.435361653879935,,,,
116,set27__L-Ornithine nitrogen source,-2.267264999549804,0.7272521445798227,2.0,182.0,-2.7815099226146565,183.0,-1.7530200764849522,,,,
117,set27__L-Glutamine nitrogen source,-4.580535128113685,0.4625425128811459,2.0,184.0,-4.253468180668361,185.0,-4.9076020755590095,,,,
118,set27__L-Alanine nitrogen source,-9.920896329835413,1.4193251422340312,2.0,186.0,-10.924510762617658,187.0,-8.917281897053169,,,,
119,set27__L-Cysteine nitrogen source,-1.305933989118888,0.16902993848183506,2.0,188.0,-1.1864117733948374,189.0,-1.4254562048429384,,,,
120,set27__L-Lysine nitrogen source,-0.47421623833166593,0.0764171036320366,2.0,190.0,-0.5282512905085142,191.0,-0.4201811861548177,,,,
121,set27__L-Asparagine nitrogen source,-3.7071788520036266,1.0490178048317076,2.0,192.0,-4.4489464553855536,193.0,-2.9654112486217,,,,
122,set27__L-Proline nitrogen source,-5.445043010772911,3.2087811946392617,2.0,194.0,-3.1760920686996177,195.0,-7.713993952846204,,,,
123,set27__Glycine nitrogen source,-2.9035690449072513,0.2682749964095927,2.0,196.0,-3.0932681140912712,197.0,-2.713869975723232,,,,
124,set27__L-Methionine nitrogen source,-3.4315759535089883,0.049087815808633146,2.0,198.0,-3.3968656260770675,199.0,-3.466286280940909,,,,
125,set27__L-Valine nitrogen source,-4.20642322589273,0.4389212286808078,2.0,200.0,-4.516787403099661,201.0,-3.8960590486858,,,,
126,set27__L-Histidine nitrogen source,-3.048062606610512,0.050132724846900505,2.0,202.0,-3.012613416911909,203.0,-3.0835117963091143,,,,
127,set27__L-Phenylalanine nitrogen source,-3.384498321262198,0.40359059375952466,2.0,204.0,-3.669879966932663,205.0,-3.099116675591733,,,,
128,set27__L-Isoleucine nitrogen source,-5.855758763829408,0.5664345605213152,2.0,206.0,-5.455229044986364,207.0,-6.256288482672452,,,,
129,set27__L-Leucine nitrogen source,-3.782745597874208,0.3900277691652303,2.0,208.0,-4.058536878302004,209.0,-3.506954317446412,,,,
130,set27__L-Threonine nitrogen source,-4.421708884411448,0.19055066040955332,2.0,210.0,-4.5564485485466175,211.0,-4.286969220276277,,,,
131,set27__L-Serine nitrogen source,-3.827256837517807,0.9658911167873578,2.0,212.0,-4.510244996085995,213.0,-3.1442686789496186,,,,
132,set28__Ethanolamine nitrogen source,-1.1781580933218703,0.846130717111952,2.0,214.0,-0.5798533254817727,215.0,-1.776462861161968,,,,
133,set28__Choline chloride nitrogen source,-1.2968425324758637,0.5056576547558358,2.0,216.0,-0.9392885758391262,217.0,-1.6543964891126013,,,,
134,set28__Carnitine Hydrochloride nitrogen source,-3.080629628790679,0.18540581265877232,2.0,218.0,-2.9495279213882584,219.0,-3.2117313361930995,,,,
135,set28__Betaine nitrogen source,-2.8052491308011698,0.6911362608992696,2.0,220.0,-2.316541993995381,221.0,-3.293956267606958,,,,
136,set28__Nicotinic Acid nitrogen source,-3.3988192195280655,0.22784406432306267,2.0,222.0,-3.559929302464007,223.0,-3.237709136592124,,,,
137,set28__Butyrolactam nitrogen source,-0.311773149641468,0.26328746420658156,2.0,224.0,-0.4979455009833522,225.0,-0.1256007982995838,,,,
138,set28__Cytosine nitrogen source,-4.393984080537195,0.08206191981430262,2.0,226.0,-4.452010620515075,227.0,-4.335957540559315,,,,
139,set28__4-Guanidinobutyric acid nitrogen source,-1.8598019070809881,0.4382839053424394,2.0,228.0,-1.5498883855284264,229.0,-2.16971542863355,,,,
140,set28__spermidine nitrogen source,-0.6104726944591767,1.2442185889401898,2.0,230.0,0.2693227070587889,231.0,-1.4902680959771424,,,,
141,"set28__1,6-Hexanediamine nitrogen source",-1.3020577513372695,0.17783184208261216,2.0,232.0,-1.4278038527847798,233.0,-1.1763116498897592,,,,
142,set28__Cadaverine nitrogen source,-0.14460212051624305,0.3628814756113189,2.0,234.0,0.1119938316555013,235.0,-0.4011980726879874,,,,
143,set28__Uracil nitrogen source,-1.4300895905286641,0.3525416913810234,2.0,236.0,-1.1808049699021674,237.0,-1.6793742111551608,,,,
144,set28__Adenine hydrochloride hydrate nitrogen source,-7.848150392452512,0.8593698244321726,2.0,238.0,-7.240484162049429,239.0,-8.455816622855593,,,,
145,set28__L-Pipecolic Acid nitrogen source,-0.5391035333003221,0.20053810588171198,2.0,240.0,-0.3973016787450577,241.0,-0.6809053878555865,,,,
146,set28__L-pyroglutamic acid nitrogen source,-6.299528119086261,0.9870923242809863,2.0,242.0,-5.601548442929985,243.0,-6.997507795242537,,,,
147,set28__L-Glutamic acid monopotassium salt monohydrate nitrogen source,-2.6899244589238096,1.2407848086161506,2.0,244.0,-1.8125571067580768,245.0,-3.567291811089542,,,,
148,set29__Propandiamine nitrogen source,0.2806384456546394,0.28817393208598135,2.0,246.0,0.4844081871938284,247.0,0.0768687041154504,,,,
149,set29__Putrescine Dihydrochloride nitrogen source,-1.5953230476768598,0.7619709989377867,2.0,248.0,-2.1341179080932564,249.0,-1.0565281872604633,,,,
150,set29__DL-3-Aminoisobutyric acid nitrogen source,-2.885993637945373,0.561861765990089,2.0,250.0,-2.488697373124332,251.0,-3.283289902766414,,,,
151,set29__D-Galacturonic Acid monohydrate carbon source,-5.74172619154282,0.5977574356184956,2.0,252.0,-6.164404527773339,253.0,-5.3190478553123,,,,
152,set100__D-Glucose carbon source,-0.10904216934201966,0.2412620341647491,3.0,254.0,-0.3753821430837107,255.0,-0.0466156126945458,256.0,0.0948712477521975,,
153,set100__D-Glucose carbon source with p-Coumaric acid stress,0.3170211974473198,0.43563670312108316,3.0,257.0,-0.0819082798877683,258.0,0.7818550963258271,259.0,0.2511167759039007,,
154,set100__D-Glucose carbon source with Ferulic acid stress,0.08552394059095707,0.34309924556240223,3.0,260.0,-0.2964461290920007,261.0,0.1854527197149572,262.0,0.3675652311499147,,
155,set100__D-Glucose carbon source with 4-Hydroxybenzaldehyde stress,0.21094838821662912,1.130673635014326,3.0,263.0,-1.070718894687127,264.0,1.0672341145205375,265.0,0.636329944816477,,
156,set100__D-Glucose carbon source with 4-Hydroxybenzoic acid stress,0.1405891114793498,0.07897266020906606,3.0,266.0,0.0494038086710021,267.0,0.1869637311111757,268.0,0.1853997946558716,,
157,set100__D-Glucose carbon source with Vanillin stress,0.04951855115496311,0.2649550640361893,3.0,269.0,-0.1754883028048547,270.0,-0.0175055203486475,271.0,0.3415494766183915,,
158,set100__D-Glucose carbon source with Vanillic acid stress,0.34827824534528595,0.4288443840779821,3.0,272.0,-0.1458340175932289,273.0,0.6235710456258394,274.0,0.5670977080032473,,
159,"set100__D-Glucose carbon source with cis,cis-muconate stress",0.45886467410632353,0.08157232276403115,3.0,275.0,0.542729033454202,276.0,0.4540690096767729,277.0,0.3797959791879957,,
160,set100__D-Glucose carbon source with Sodium chloride stress,0.4942495617321791,0.3327572560094854,3.0,278.0,0.3535843595827532,279.0,0.2549253090071448,280.0,0.8742390166066394,,
161,set100__D-Glucose carbon source with Sodium sulfate stress,-0.17462858898268388,0.2613907034720359,3.0,281.0,-0.4322862970531425,282.0,-0.1819411282322104,283.0,0.0903416583373012,,
162,set100__D-Glucose carbon source with Acetic acid stress,0.23872345597510858,0.4391987209863167,3.0,284.0,-0.1560824544539835,285.0,0.7117923980899399,286.0,0.1604604242893693,,
163,set100__D-Glucose carbon source with Lactic acid stress,0.4244816743812808,0.27779582487199433,2.0,287.0,0.228050362828983,289.0,0.6209129859335786,,,,
164,set100__D-Glucose carbon source with Lactic acide stress,0.616045939425622,,1.0,288.0,0.616045939425622,,,,,,
165,set100__D-Glucose carbon source with Glycolic acid stress,0.6288985151755737,0.18830412454151996,3.0,290.0,0.4315464751074518,291.0,0.8066161225549118,292.0,0.6485329478643576,,
166,set101__D-Glucose carbon source,-0.08240191337387898,0.41268169838985735,3.0,293.0,-0.5303199740758927,294.0,0.0007265721416855,295.0,0.2823876618125703,,
167,set101__D-Glucose carbon source with Protecatechuic acid stress,0.9318800358357976,0.5580259832221085,3.0,296.0,0.5992967321521294,297.0,1.5761196529773531,298.0,0.6202237223779105,,
168,"set101__D-Glucose carbon source with cis,cis-muconate stress",0.04130192923862639,0.35248011251331846,3.0,299.0,-0.3107427634542355,300.0,0.0404326972736721,301.0,0.3942158538964426,,
169,set101__Ferulic acid carbon source,-0.192129475873735,0.10288725324933652,3.0,302.0,-0.0998525688306799,303.0,-0.3030716036824404,304.0,-0.1734642551080847,,
170,set101__p-Coumaric acid carbon source,-0.04279324383347055,0.6280439903941754,3.0,305.0,-0.7666193404666067,306.0,0.3577991302898828,307.0,0.2804404786763123,,
171,set101__10 mM vanillate carbon source,0.8049474164869043,0.16336962026327922,3.0,308.0,0.7623461055894282,309.0,0.6670988367589363,310.0,0.9853973071123484,,
