,-0.3359940403481307,-0.29119483496837995,-0.2463956295886292,-0.20159642420887847,-0.15679721882912773,-0.11199801344937699,-0.06719880806962625,-0.02239960268987551,0.02239960268987523,0.06719880806962597,0.11199801344937671,0.15679721882912745,0.2015964242088782,0.24639562958862898,0.29119483496837967,0.33599404034813035,0.38079324572788115,0.42559245110763194,0.4703916564873826,0.5151908618671333
thresh,-0.2239960268987538,0.2239960268987538,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,0,13,2337,2365,13,1,0,0,0,0,1,0,1,0,0
unreg_genes,['glgB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_2390'],[],['PP_2388'],[],[]
