,A,PP_5350
R2,,0.06120947762856044
xmin,,-1.958
xmid,,
xmax,,10.805
ystart,,2.88355042323519
yend,,-3.2176451275527884
set1IT078,-0.3269288620230917,2.435
set1IT079,-0.1584304170448158,1.532
set1IT080,-0.2734307046962288,2.287
set1IT081,-0.4077588992254792,2.266
set1IT082,-0.8038623693390049,1.674
set1IT083,-0.5779689636092418,2.884
set1IT084,9.182810595599644,-0.223
set1IT085,9.318759331066303,-0.393
set1IT086,6.125790379374853,-0.581
set1IT087,6.804685255447809,-0.394
set5IT075,-0.3199216716692745,1.874
set5IT076,-0.1338807504994938,1.194
set5IT081,-0.1518970554328466,2.072
set5IT082,-0.2322002350075535,1.357
set5IT083,-0.894509136899667,1.348
set5IT084,-0.618417876554847,0.823
set5IT085,1.3874543735386011,0.323
set5IT086,1.3601802277187318,0.113
set5IT087,2.1389174213465574,0.437
set5IT088,2.4450613507906502,0.371
set6IT057,-0.3483033504657002,1.334
set6IT059,0.3873475895503982,0.175
set6IT061,0.1544031372653296,1.531
set6IT064,-0.0455872715445755,1.319
set6IT065,0.6222895143884442,1.241
set7IT042,0.964664140036777,0.781
set7IT044,3.0999929674233946,2.743
set7IT045,2.363219909731696,1.825
set7IT055,3.2530287782885683,-1.25
set7IT056,1.402572045962176,-0.957
set7IT057,2.333241773789817,0.994
set7IT062,1.1809800699468769,-1.371
set8IT058,0.2508255969722557,1.139
set8IT059,0.2041442212544543,1.719
set8IT060,0.3696456107193235,0.166
set8IT062,0.8905324476761709,0.181
set8IT064,0.9727437892237238,-0.18
set8IT070,-0.2164808340447307,0.227
set8IT073,0.3533769447865557,-1.057
set8IT080,-0.1462565297760504,0.869
set8IT081,-0.2285458028637217,1.395
set8IT082,-0.8533698451598434,-0.63
set8IT084,-0.9721108931085698,-0.218
set8IT085,0.0898339497842824,-0.036
set8IT089,0.3002003626752259,1.898
set8IT090,-0.4734169760976093,1.5
set8IT092,-0.0557170233252545,0.136
set8IT093,-0.9333618716942164,0.095
set8IT094,-0.9528125475152512,0.138
