,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),1.18576572834342,0.2120541865861822,2.0,0.0,1.3357106816575068,1.0,1.0358207750293331,,,,
1,set1__Glucose carbon source (20mM),1.9543711149908172,0.590946184950655,2.0,2.0,1.5365090602958893,3.0,2.372233169685745,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),2.765406436516116,0.40290437716796623,2.0,4.0,2.480510019250905,5.0,3.0503028537813277,,,,
3,set1__Potassium Acetate Carbon Source (20mM),2.703371105373755,0.08586024358602488,2.0,6.0,2.764083465847762,7.0,2.642658744899748,,,,
4,set1__Potassium Acetate Carbon Source (5mM),3.1774791195304743,0.1972900801496004,2.0,8.0,3.0379739659958545,9.0,3.3169842730650942,,,,
5,set5__D-Glucose carbon source,-1.8097229364204377,0.6259430772241544,2.0,10.0,-1.3671143418784633,11.0,-2.252331530962412,,,,
6,set5__Levulinic Acid carbon source,-1.0799528528697138,0.2716979486168252,4.0,12.0,-1.3897016590134932,13.0,-1.219588369536231,14.0,-0.9054791673062168,15.0,-0.8050422156229147
7,set5__Vanillin carbon source,-3.175862246302848,0.1137054933294017,2.0,16.0,-3.0954603209114664,17.0,-3.2562641716942298,,,,
8,set5__p-Coumaric acid carbon source,-0.16626591745334335,0.3949999394042834,2.0,18.0,0.1130412182677008,19.0,-0.4455730531743875,,,,
9,set6__D-Glucose carbon source,1.598611142318606,,1.0,20.0,1.598611142318606,,,,,,
10,set6__Ferulic Acid carbon source,3.304243303965104,,1.0,21.0,3.304243303965104,,,,,,
11,set6__benzoic acid carbon source,-0.0131874211187536,,1.0,22.0,-0.0131874211187536,,,,,,
12,set6__Valerolactam carbon source,1.440589246085323,,1.0,23.0,1.440589246085323,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.4162517194947405,,1.0,24.0,0.4162517194947405,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,1.789437121904804,,1.0,25.0,1.789437121904804,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,1.1121787347750074,0.9656530167897077,2.0,26.0,0.429358938329758,30.0,1.7949985312202568,,,,
16,set7__Valerolactam 10 mM carbon source,1.489083124593414,,1.0,27.0,1.489083124593414,,,,,,
17,set7__L-Lysine 10 mM carbon source,1.526689973229974,,1.0,28.0,1.526689973229974,,,,,,
18,set7__D-Lysine 10 mM carbon source,2.357939879200117,0.4731499509600576,2.0,29.0,2.023372340358178,31.0,2.692507418042056,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-5.396631685691422,,1.0,32.0,-5.396631685691422,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-9.475486674302624,,1.0,33.0,-9.475486674302624,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-6.140153872651815,,1.0,34.0,-6.140153872651815,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-5.016354164002029,3.1756574641345594,2.0,35.0,-7.261883091617251,47.0,-2.770825236386806,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-5.092078831891058,2.39715594073722,2.0,36.0,-6.787124053147964,49.0,-3.397033610634152,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-6.398953168974599,,1.0,37.0,-6.398953168974599,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.119552189384902,,1.0,38.0,-0.119552189384902,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-5.315319505661738,,1.0,39.0,-5.315319505661738,,,,,,
