,-0.07441851765988271,-0.04465111059592962,-0.01488370353197653,0.014883703531976558,0.04465111059592965,0.07441851765988274,0.10418592472383582,0.1339533317877889,0.163720738851742,0.19348814591569508,0.22325555297964816,0.25302296004360125,0.28279036710755434,0.31255777417150743,0.3423251812354605,0.3720925882994136,0.4018599953633667,0.4316274024273198,0.4613948094912729,0.49116221655522596
thresh,-0.08930222119185925,0.08930222119185925,1,,,,,,,,,,,,,,,,,
unreg,4,43,2504,2103,61,14,1,0,0,0,0,0,0,0,0,1,1,0,0,0
unreg_genes,[],[],[],[],[],[],['lldD'],[],[],[],[],[],[],[],[],['PP_1898'],['PP_4994'],[],[],[]
