,PP_2613
set1IT078,0.088
set1IT079,0.296
set1IT080,0.281
set1IT081,0.405
set1IT082,0.323
set1IT083,0.488
set1IT084,0.358
set1IT085,0.32
set1IT086,0.245
set1IT087,0.328
set5IT075,0.066
set5IT076,0.074
set5IT081,0.17
set5IT082,0.072
set5IT083,0.181
set5IT084,0.095
set5IT085,0.032
set5IT086,-0.067
set5IT087,0.021
set5IT088,-0.224
set6IT057,-0.12
set6IT059,0.004
set6IT061,-0.034
set6IT064,-0.163
set6IT065,-0.068
set7IT042,-0.308
set7IT044,-0.072
set7IT045,-0.005
set7IT055,-0.379
set7IT056,-0.139
set7IT057,-0.178
set7IT062,0.216
set8IT058,0.062
set8IT059,0.164
set8IT060,-0.098
set8IT062,0.15
set8IT064,0.048
set8IT070,0.048
set8IT073,0.084
set8IT080,-0.162
set8IT081,-0.197
set8IT082,-0.043
set8IT084,-0.17
set8IT085,-0.104
set8IT089,0.068
set8IT090,0.05
set8IT092,0.041
set8IT093,0.119
set8IT094,-0.067
set8IT095,-0.008
set8IT096,-0.087
set9IT020,0.01
set9IT022,0.16
set9IT025,-0.035
set10IT006,0.062
set10IT008,-0.148
set10IT010,0.07
set10IT017,-0.118
set10IT018,-0.1
set10IT019,0.019
set10IT020,-0.143
set10IT021,0.279
set10IT022,-0.005
set10IT023,0.103
set10IT024,0.046
set10IT025,0.018
set10IT026,-0.142
set10IT027,-0.057
set10IT028,0.089
set10IT029,-0.234
set10IT031,0.161
set10IT032,-0.098
set10IT033,-0.107
set10IT034,-0.15
set10IT035,-0.241
set10IT036,-0.127
set10IT037,-0.169
set10IT043,-0.043
set10IT044,-0.07
set10IT053,-0.151
set12IT001,-0.078
set12IT002,-0.106
set12IT004,0.046
set12IT007,-0.23
set12IT008,-0.189
set12IT009,-0.19
set12IT014,0.05
set12IT015,-0.216
set12IT016,-0.144
set12IT017,-0.063
set12IT023,-0.182
set12IT024,0.249
set12IT025,-0.127
set12IT026,0.059
set12IT027,-0.166
set12IT028,-0.079
set12IT029,-0.193
set12IT031,0.047
set12IT032,-0.257
set12IT034,-0.095
set12IT037,0.13
set12IT038,-0.078
set12IT039,-0.011
set12IT044,0.037
set12IT046,0.205
set12IT053,-0.056
set12IT054,-0.12
set12IT055,0.008
set12IT056,-0.001
set12IT057,-0.069
set12IT058,-0.165
set12IT059,-0.364
set15IT054,0.082
set15IT057,0.134
set15IT058,0.048
set15IT059,-0.017
set15IT060,0.086
set15IT061,0.167
set15IT062,0.05
set15IT063,0.159
set15IT064,-0.207
set15IT065,-0.01
set15IT066,-0.014
set15IT067,0.024
set15IT068,0.195
set15IT071,0.036
set15IT072,-0.046
set15IT073,0.079
set15IT074,-0.078
set15IT075,0.029
set15IT076,-0.086
set15IT077,-0.224
set15IT078,0.02
set15IT079,0.245
set15IT080,0.145
set15IT081,0.091
set16IT004,0.098
