,PP_2524
set1IT078,0.165
set1IT079,0.07
set1IT080,0.181
set1IT081,-0.096
set1IT082,0.292
set1IT083,0.016
set1IT084,0.295
set1IT085,0.064
set1IT086,0.195
set1IT087,0.091
set5IT075,-0.082
set5IT076,-0.084
set5IT081,-0.085
set5IT082,0.185
set5IT083,-0.095
set5IT084,0.036
set5IT085,-0.161
set5IT086,-0.033
set5IT087,-0.163
set5IT088,-0.076
set6IT057,-0.022
set6IT059,0.013
set6IT061,0.205
set6IT064,0.055
set6IT065,0.128
set7IT042,0.416
set7IT044,0.137
set7IT045,0.197
set7IT055,0.219
set7IT056,0.012
set7IT057,0.355
set7IT062,0.135
set8IT058,-0.119
set8IT059,0.017
set8IT060,-0.263
set8IT062,0.114
set8IT064,-0.216
set8IT070,0.126
set8IT073,0.143
set8IT080,0.071
set8IT081,0.191
set8IT082,0.533
set8IT084,-0.26
set8IT085,-0.236
set8IT089,0.257
set8IT090,-0.252
set8IT092,0.012
set8IT093,0.017
set8IT094,-0.231
set8IT095,-0.081
set8IT096,-0.204
set9IT020,0.425
set9IT022,0.166
set9IT025,-0.004
set10IT006,-0.158
set10IT008,-0.082
set10IT010,-0.274
set10IT017,-0.144
set10IT018,-0.226
set10IT019,0.164
set10IT020,-0.028
set10IT021,-0.026
set10IT022,-0.151
set10IT023,-0.124
set10IT024,-0.037
set10IT025,-0.039
set10IT026,-0.219
set10IT027,-0.121
set10IT028,-0.575
set10IT029,0.223
set10IT031,0.037
set10IT032,-0.148
set10IT033,-0.036
set10IT034,-0.266
set10IT035,-0.108
set10IT036,-0.348
set10IT037,-0.515
set10IT043,0.106
set10IT044,0.131
set10IT053,0.138
set12IT001,-0.153
set12IT002,-0.036
set12IT004,-0.154
set12IT007,-0.003
set12IT008,-0.104
set12IT009,-0.04
set12IT014,-0.138
set12IT015,0.199
set12IT016,-0.303
set12IT017,-0.178
set12IT023,0.082
set12IT024,-0.047
set12IT025,-0.108
set12IT026,-0.274
set12IT027,-0.012
set12IT028,-0.49
set12IT029,-0.03
set12IT031,-0.149
set12IT032,-0.047
set12IT034,0.053
set12IT037,-0.027
set12IT038,0.048
set12IT039,-0.142
set12IT044,-0.13
set12IT046,-0.191
set12IT053,-0.028
set12IT054,-0.229
set12IT055,-0.119
set12IT056,0.25
set12IT057,0.128
set12IT058,0.122
set12IT059,0.026
set15IT054,0.046
set15IT057,0.18
set15IT058,0.01
set15IT059,0.036
set15IT060,0.286
set15IT061,-0.117
set15IT062,-0.022
set15IT063,0.224
set15IT064,-0.09
set15IT065,-0.055
set15IT066,0.094
set15IT067,0.11
set15IT068,0.275
set15IT071,0.047
set15IT072,0.165
set15IT073,0.075
set15IT074,0.248
set15IT075,-0.177
set15IT076,0.014
set15IT077,-0.644
set15IT078,-0.107
set15IT079,-0.282
set15IT080,0.044
set15IT081,0.14
set16IT004,0.087
set16IT005,0.092
set16IT006,-0.103
set16IT007,0.094
set16IT008,-0.09
set16IT009,-0.063
set16IT010,0.046
set16IT011,0.046
set16IT012,-0.006
set16IT013,-0.121
set16IT014,0.027
set16IT015,0.188
set27IT004,-0.058
set27IT005,-0.032
set27IT006,0.11
set27IT007,-0.258
set27IT008,-0.203
set27IT009,-0.146
set27IT010,0.074
set27IT011,-0.043
set27IT012,0.106
set27IT013,0.015
set27IT014,0.069
set27IT015,-0.193
set27IT016,-0.055
set27IT017,-0.141
set27IT018,-0.112
set27IT019,-0.066
set27IT020,-0.064
set27IT021,-0.002
set27IT024,0.064
set27IT025,-0.151
set27IT028,0.158
set27IT029,0.015
set27IT030,-0.056
set27IT031,-0.201
set27IT032,-0.085
set27IT033,0.033
set27IT034,0.102
set27IT035,0.149
set27IT036,0.014
set27IT037,-0.008
set27IT038,0.016
set27IT039,-0.037
set27IT040,0.026
set27IT041,-0.014
set27IT042,-0.031
set27IT043,0.008
set27IT044,0.002
set27IT045,-0.088
set27IT046,0.05
set27IT047,-0.078
set27IT048,0.027
set27IT049,0.001
set27IT050,-0.006
set27IT051,-0.09
set27IT052,0.022
set27IT053,0.017
set27IT054,0.143
set27IT055,-0.235
set27IT056,-0.14
set27IT057,-0.205
set27IT058,-0.046
set27IT059,-0.339
set27IT060,0.013
set27IT061,0.048
set27IT062,-0.333
set27IT063,-0.007
set27IT064,-0.054
set27IT065,-0.008
set27IT066,0.069
set27IT067,0.197
set27IT068,-0.099
set27IT069,-0.015
set27IT070,-0.114
set27IT071,-0.159
set27IT072,-0.125
set27IT073,-0.357
set28IT003,0.178
set28IT004,-0.072
set28IT005,0.006
set28IT006,-0.183
set28IT007,-0.263
set28IT008,0.048
set28IT009,0.199
set28IT010,0.066
set28IT013,0.295
set28IT014,-0.05
set28IT017,0.126
set28IT018,0.161
set28IT021,0.011
set28IT022,0.023
set28IT023,0.15
set28IT024,0.153
set28IT027,0.2
set28IT028,-0.081
set28IT029,0.045
set28IT030,0.21
set28IT031,-0.021
set28IT032,0.031
set28IT035,0.153
set28IT036,-0.137
set28IT037,-0.039
set28IT038,0.091
set28IT039,-0.052
set28IT040,0.081
set28IT041,0.008
set28IT042,0.017
set28IT045,-0.012
set28IT046,-0.146
set29IT004,0.105
set29IT005,-0.02
set29IT006,0.083
set29IT007,0.035
set29IT014,-0.201
set29IT015,-0.033
set29IT057,0.261
set29IT058,-0.154
set100IT008,0.082
set100IT009,0.091
set100IT010,0.013
set100IT011,0.025
set100IT012,0.005
set100IT013,0.016
set100IT014,0.059
set100IT015,-0.039
set100IT016,0.098
set100IT017,0.047
set100IT018,-0.146
set100IT019,0.258
set100IT020,0.092
set100IT021,0.091
set100IT022,0.123
set100IT023,0.007
set100IT024,-0.205
set100IT025,0.062
set100IT026,0.222
set100IT027,-0.05
set100IT028,0.084
set100IT029,-0.041
set100IT030,-0.156
set100IT031,0.16
set100IT032,0.017
set100IT033,-0.14
set100IT034,-0.075
set100IT035,-0.004
set100IT036,-0.423
set100IT037,0.005
set100IT038,-0.2
set100IT039,0.007
set100IT040,0.264
set100IT041,0.1
set100IT042,-0.261
set100IT043,0.065
set100IT044,0.033
set100IT045,-0.217
set100IT046,0.053
set101IT007,0.071
set101IT008,-0.165
set101IT009,-0.111
set101IT013,-0.025
set101IT014,-0.035
set101IT015,0.117
set101IT016,0.016
set101IT017,-0.061
set101IT018,0.042
set101IT019,-0.129
set101IT020,-0.19
set101IT021,0.035
set101IT022,0.028
set101IT023,0.055
set101IT024,0.081
set101IT025,-0.117
set101IT026,0.116
set101IT027,-0.253
set101IT028,-0.08
set101IT029,-0.069
set101IT030,-0.116
set101IT031,-0.071
set101IT032,0.001
set101IT033,-0.185
set101IT034,0.049
set101IT035,0.091
set101IT036,-0.141
set101IT037,0.09
set101IT038,-0.189
set101IT039,-0.031
set101IT040,0.029
set101IT041,-0.041
set101IT042,-0.054
set101IT043,-0.081
set101IT044,-0.057
set101IT045,-0.123
set101IT046,0.163
set101IT047,-0.087
set101IT048,0.18
