,PP_2633
set1IT078,-0.174
set1IT079,0.027
set1IT080,-0.134
set1IT081,-0.799
set1IT082,-0.26
set1IT083,-0.232
set1IT084,-0.228
set1IT085,0.002
set1IT086,0.279
set1IT087,0.033
set5IT075,0.31
set5IT076,-0.28
set5IT081,-0.96
set5IT082,-0.181
set5IT083,0.153
set5IT084,-0.272
set5IT085,0.047
set5IT086,-0.841
set5IT087,0.188
set5IT088,-0.224
set6IT057,-1.332
set6IT059,0.673
set6IT061,0.09
set6IT064,-0.64
set6IT065,-0.178
set7IT042,-0.682
set7IT044,0.081
set7IT045,-0.461
set7IT055,-1.098
set7IT056,-0.948
set7IT057,-0.336
set7IT062,0.191
set8IT058,0.061
set8IT059,-0.913
set8IT060,-0.306
set8IT062,0.248
set8IT064,0.449
set8IT070,-0.312
set8IT073,-0.999
set8IT080,0.377
set8IT081,0.076
set8IT082,-0.344
set8IT084,-0.513
set8IT085,-0.099
set8IT089,-0.155
set8IT090,0.784
set8IT092,0.388
set8IT093,0.782
set8IT094,-0.06
set8IT095,0.295
set8IT096,0.113
set9IT020,-0.161
set9IT022,0.537
set9IT025,0.15
set10IT006,-0.262
set10IT008,0.153
set10IT010,-0.715
set10IT017,-0.664
set10IT018,-0.092
set10IT019,-0.176
set10IT020,-0.057
set10IT021,-0.417
set10IT022,0.074
set10IT023,-0.224
set10IT024,0.287
set10IT025,-0.119
set10IT026,-0.01
set10IT027,0.069
set10IT028,0.33
set10IT029,-0.573
set10IT031,-0.398
set10IT032,-0.611
set10IT033,-0.363
set10IT034,0.267
set10IT035,0.108
set10IT036,0.022
set10IT037,-0.074
set10IT043,-0.157
set10IT044,0.464
set10IT053,0.216
set12IT001,0.681
set12IT002,0.433
set12IT004,0.915
set12IT007,0.418
set12IT008,0.908
set12IT009,0.061
set12IT014,0.078
set12IT015,0.238
set12IT016,0.474
set12IT017,0.185
set12IT023,0.138
set12IT024,-0.232
set12IT025,-0.348
set12IT026,-0.139
set12IT027,-0.116
set12IT028,0.33
set12IT029,-0.272
set12IT031,-0.354
set12IT032,-0.35
set12IT034,0.036
set12IT037,0.611
set12IT038,0.066
set12IT039,0.508
set12IT044,0.461
set12IT046,0.244
set12IT053,0.364
set12IT054,-0.213
set12IT055,0.234
set12IT056,-0.321
set12IT057,0.776
set12IT058,-0.643
set12IT059,0.129
set15IT054,0.009
set15IT057,0.441
set15IT058,0.247
set15IT059,0.033
set15IT060,-0.256
set15IT061,-0.41
set15IT062,-0.395
set15IT063,-0.093
set15IT064,0.049
set15IT065,-0.339
set15IT066,0.4
set15IT067,-0.486
set15IT068,0.347
set15IT071,-0.102
set15IT072,0.272
set15IT073,0.246
set15IT074,0.215
set15IT075,-0.451
set15IT076,-0.051
set15IT077,0.601
set15IT078,0.264
set15IT079,0.565
set15IT080,0.555
set15IT081,-0.169
set16IT004,-0.237
set16IT005,-0.49
set16IT006,0.282
set16IT007,0.479
set16IT008,0.202
set16IT009,-0.201
set16IT010,0.481
set16IT011,0.097
set16IT012,0.045
set16IT013,0.143
set16IT014,0.157
set16IT015,0.35
set27IT004,-0.22
set27IT005,0.157
set27IT006,-0.522
set27IT007,0.06
set27IT008,-0.532
set27IT009,-0.383
set27IT010,-0.36
set27IT011,0.041
set27IT012,0.175
set27IT013,-0.131
set27IT014,-0.514
set27IT015,0.142
set27IT016,-0.171
set27IT017,-0.598
set27IT018,-0.227
set27IT019,-0.311
set27IT020,0.136
set27IT021,-0.426
set27IT024,-1.66
set27IT025,-0.501
set27IT028,0.106
