,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.092,0.21071782079359117,2.0,0.0,0.241,1.0,-0.057,,,,
1,set1__Glucose carbon source (20mM),-0.041499999999999995,0.11384419177103415,2.0,2.0,-0.122,3.0,0.039,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.7095,0.17606958851545035,2.0,4.0,0.585,5.0,0.834,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.441,0.2545584412271571,2.0,6.0,0.261,7.0,0.621,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.61,0.21496046148071044,2.0,8.0,0.762,9.0,0.458,,,,
5,set5__D-Glucose carbon source,0.184,0.1428355697996826,2.0,10.0,0.285,11.0,0.083,,,,
6,set5__Levulinic Acid carbon source,0.19974999999999998,0.22703799241536646,4.0,12.0,0.154,13.0,-0.103,14.0,0.383,15.0,0.365
7,set5__Vanillin carbon source,-0.08400000000000002,0.3648670990922585,2.0,16.0,0.174,17.0,-0.342,,,,
8,set5__p-Coumaric acid carbon source,0.3235,0.07990306627407986,2.0,18.0,0.267,19.0,0.38,,,,
9,set6__D-Glucose carbon source,0.677,,1.0,20.0,0.677,,,,,,
10,set6__Ferulic Acid carbon source,0.395,,1.0,21.0,0.395,,,,,,
11,set6__benzoic acid carbon source,-0.998,,1.0,22.0,-0.998,,,,,,
12,set6__Valerolactam carbon source,0.296,,1.0,23.0,0.296,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.077,,1.0,24.0,-0.077,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.201,,1.0,25.0,-0.201,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.255,0.12162236636408619,2.0,26.0,-0.341,30.0,-0.169,,,,
16,set7__Valerolactam 10 mM carbon source,0.239,,1.0,27.0,0.239,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.488,,1.0,28.0,-0.488,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.5385,0.36274577874869895,2.0,29.0,-0.795,31.0,-0.282,,,,
