,0
gene_id,PP_t13
name,PP_t13
operon,<i>Not Available</i>
gene_product,<i>Not Available</i>
cog,No COG category
regulator,<i>Not Available</i>
link,"<a href=""https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_t13&e1=1&assembly=complete"">External Database</a>"
