,PP_5408
set1IT078,0.041
set1IT079,0.019
set1IT080,0.014
set1IT081,0.068
set1IT082,0.2
set1IT083,-0.002
set1IT084,-0.032
set1IT085,0.308
set1IT086,-0.083
set1IT087,-0.081
set5IT075,-0.061
set5IT076,0.109
set5IT081,-0.034
set5IT082,0.094
set5IT083,-0.068
set5IT084,0.09
set5IT085,0.059
set5IT086,0.06
set5IT087,-0.149
set5IT088,-0.171
set6IT057,-0.128
set6IT059,-0.092
set6IT061,0.121
set6IT064,-0.021
set6IT065,-0.178
set7IT042,-0.271
set7IT044,0.025
set7IT045,-0.067
set7IT055,-0.132
set7IT056,0.126
set7IT057,0.061
set7IT062,0.37
set8IT058,-0.021
set8IT059,-0.109
set8IT060,-0.04
set8IT062,0.353
set8IT064,-0.322
set8IT070,0.027
set8IT073,-0.066
set8IT080,-0.238
set8IT081,-0.224
set8IT082,-0.53
set8IT084,-0.17
set8IT085,-0.321
set8IT089,0.201
set8IT090,0.051
set8IT092,0.078
set8IT093,0.105
set8IT094,0.114
set8IT095,-0.241
set8IT096,-0.064
set9IT020,-0.07
set9IT022,0.107
set9IT025,-0.148
set10IT006,-0.073
set10IT008,-0.171
set10IT010,0.062
set10IT017,-0.083
set10IT018,-0.053
set10IT019,-0.029
set10IT020,0.24
set10IT021,0.456
set10IT022,0.01
set10IT023,0.108
set10IT024,0.058
set10IT025,0.001
set10IT026,-0.004
set10IT027,-0.042
set10IT028,-0.064
set10IT029,-0.021
set10IT031,-0.162
set10IT032,0.015
set10IT033,0.017
set10IT034,0.013
set10IT035,-0.075
set10IT036,0.097
set10IT037,0.038
set10IT043,-0.003
set10IT044,0.23
set10IT053,-0.403
set12IT001,0.223
set12IT002,-0.054
set12IT004,0.101
set12IT007,0.099
set12IT008,0.166
set12IT009,0.181
set12IT014,0.157
set12IT015,-0.147
set12IT016,0.184
set12IT017,-0.033
set12IT023,0.142
set12IT024,0.024
set12IT025,-0.197
set12IT026,0.075
set12IT027,0.064
set12IT028,0.09
set12IT029,0.329
set12IT031,0.059
set12IT032,0.055
set12IT034,-0.144
set12IT037,-0.039
set12IT038,0.202
set12IT039,0.168
set12IT044,0.184
set12IT046,0.082
set12IT053,0.162
set12IT054,0.147
set12IT055,0.006
set12IT056,0.062
set12IT057,0.063
set12IT058,0.116
set12IT059,0.236
set15IT054,-0.284
set15IT057,-0.23
set15IT058,-0.191
set15IT059,-0.109
set15IT060,-0.147
set15IT061,-0.201
set15IT062,-0.284
set15IT063,-0.314
set15IT064,-0.167
set15IT065,-0.373
set15IT066,-0.11
set15IT067,-0.275
set15IT068,-0.187
set15IT071,-0.01
set15IT072,-0.414
set15IT073,-0.315
set15IT074,-0.145
set15IT075,-0.144
set15IT076,-0.282
set15IT077,-0.523
set15IT078,-0.03
set15IT079,-0.065
set15IT080,-0.27
set15IT081,-0.192
set16IT004,-0.092
set16IT005,-0.046
set16IT006,-0.024
set16IT007,-0.142
set16IT008,0.043
set16IT009,0.008
set16IT010,-0.073
set16IT011,-0.1
set16IT012,0.05
set16IT013,-0.02
set16IT014,-0.242
set16IT015,0.018
set27IT004,0.079
set27IT005,0.181
set27IT006,0.0
set27IT007,0.109
set27IT008,-0.034
set27IT009,-0.026
set27IT010,0.088
set27IT011,0.042
set27IT012,0.225
set27IT013,-0.01
set27IT014,0.078
set27IT015,0.15
set27IT016,-0.023
set27IT017,-0.047
set27IT018,0.056
set27IT019,0.188
set27IT020,0.075
set27IT021,-0.151
set27IT024,-0.022
set27IT025,-0.302
set27IT028,0.149
set27IT029,0.287
set27IT030,-0.045
set27IT031,0.043
set27IT032,0.003
set27IT033,-0.078
set27IT034,-0.139
set27IT035,-0.128
set27IT036,-0.01
set27IT037,-0.002
set27IT038,-0.091
set27IT039,-0.082
set27IT040,-0.099
set27IT041,-0.011
set27IT042,0.061
set27IT043,-0.056
set27IT044,0.087
set27IT045,0.085
set27IT046,0.092
set27IT047,0.008
set27IT048,-0.158
set27IT049,-0.157
set27IT050,0.076
set27IT051,0.026
set27IT052,-0.014
set27IT053,0.119
set27IT054,0.118
set27IT055,0.042
set27IT056,0.107
set27IT057,0.034
set27IT058,0.192
set27IT059,0.137
set27IT060,0.066
set27IT061,0.024
set27IT062,0.01
set27IT063,-0.182
set27IT064,0.035
set27IT065,0.162
set27IT066,0.016
set27IT067,0.047
set27IT068,0.01
set27IT069,-0.03
set27IT070,0.157
set27IT071,-0.053
set27IT072,0.122
set27IT073,-0.009
set28IT003,0.089
set28IT004,-0.029
set28IT005,0.127
set28IT006,-0.227
set28IT007,-0.206
set28IT008,0.0
set28IT009,-0.243
set28IT010,0.043
set28IT013,0.09
set28IT014,0.035
set28IT017,-0.17
set28IT018,0.0
set28IT021,-0.022
set28IT022,-0.049
set28IT023,-0.172
set28IT024,-0.057
set28IT027,-0.161
set28IT028,0.0
set28IT029,-0.028
set28IT030,0.012
set28IT031,0.069
set28IT032,-0.015
set28IT035,-0.048
set28IT036,0.057
set28IT037,0.134
set28IT038,-0.128
set28IT039,-0.03
set28IT040,-0.043
set28IT041,-0.175
set28IT042,-0.092
set28IT045,0.0
set28IT046,-0.067
set29IT004,0.481
set29IT005,0.286
set29IT006,0.008
set29IT007,0.151
set29IT014,-0.006
set29IT015,0.228
set29IT057,0.006
set29IT058,-0.101
set100IT008,0.011
set100IT009,-0.075
set100IT010,0.077
set100IT011,0.047
set100IT012,-0.06
set100IT013,0.07
set100IT014,0.117
set100IT015,-0.06
set100IT016,0.058
set100IT017,-0.03
set100IT018,-0.118
set100IT019,0.205
set100IT020,0.104
set100IT021,-0.045
set100IT022,0.03
set100IT023,0.031
set100IT024,-0.119
set100IT025,0.154
set100IT026,0.14
set100IT027,0.023
set100IT028,0.128
set100IT029,0.032
set100IT030,-0.025
set100IT031,0.103
set100IT032,0.042
set100IT033,-0.011
set100IT034,0.22
set100IT035,0.235
set100IT036,-0.045
set100IT037,0.125
set100IT038,-0.058
set100IT039,-0.152
set100IT040,0.287
set100IT041,0.175
set100IT042,-0.127
set100IT043,0.03
set100IT044,0.078
set100IT045,0.008
set100IT046,-0.115
set101IT007,0.047
set101IT008,-0.1
set101IT009,-0.14
set101IT013,-0.083
set101IT014,0.012
set101IT015,-0.012
set101IT016,0.182
set101IT017,-0.022
set101IT018,-0.055
set101IT019,0.024
set101IT020,-0.025
set101IT021,-0.237
set101IT022,0.033
set101IT023,0.097
set101IT024,-0.14
set101IT025,0.15
set101IT026,-0.07
set101IT027,0.023
set101IT028,-0.033
set101IT029,0.003
set101IT030,-0.105
set101IT031,0.035
set101IT032,0.07
set101IT033,-0.048
set101IT034,0.095
set101IT035,-0.042
set101IT036,-0.248
set101IT037,0.071
set101IT038,0.001
set101IT039,0.007
set101IT040,-0.01
set101IT041,0.041
set101IT042,-0.157
set101IT043,0.067
set101IT044,-0.167
set101IT045,0.029
set101IT046,0.077
