,-0.17486527256776935,-0.12490376611983525,-0.07494225967190116,-0.02498075322396706,0.024980753223967034,0.07494225967190113,0.12490376611983522,0.17486527256776935,0.22482677901570342,0.2747882854636375,0.3247497919115716,0.37471129835950573,0.4246728048074398,0.47463431125537386,0.5245958177033081,0.574557324151242,0.6245188305991762,0.6744803370471102,0.7244418434950444,0.7744033499429785
thresh,-0.09992301289586819,0.09992301289586819,1,,,,,,,,,,,,,,,,,
unreg,1,0,7,2482,2224,13,2,1,0,0,1,0,0,0,0,1,0,0,0,0
unreg_genes,['argF'],[],[],[],[],[],['ilvI' 'tgt'],['cysB'],[],[],['argG'],[],[],[],[],['PP_5350'],[],[],[],[]
