,-0.07627098507639689,-0.04576259104583813,-0.015254197015279372,0.015254197015279386,0.045762591045838144,0.07627098507639692,0.10677937910695566,0.1372877731375144,0.16779616716807316,0.19830456119863193,0.2288129552291907,0.2593213492597494,0.2898297432903082,0.32033813732086697,0.3508465313514257,0.38135492538198446,0.4118633194125432,0.44237171344310194,0.47288010747366077,0.5033885015042195
thresh,-0.09152518209167626,0.09152518209167626,1,,,,,,,,,,,,,,,,,
unreg,2,30,2492,2154,38,7,3,2,0,0,0,0,2,1,0,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],['tgt' 'metZ' 'leuB'],['ilvC' 'hisG'],[],[],[],[],['trpD' 'pabA'],['trpB'],[],['trpE'],[],[],[],[]
