,-0.208744985232668,-0.1669959881861344,-0.1252469911396008,-0.08349799409306721,-0.04174899704653362,-2.7755575615628914e-17,0.041748997046533565,0.08349799409306718,0.12524699113960075,0.16699598818613431,0.20874498523266793,0.25049398227920155,0.2922429793257351,0.3339919763722687,0.37574097341880236,0.4174899704653359,0.4592389675118695,0.500987964558403,0.5427369616049367,0.5844859586514703
thresh,-0.104372492616334,0.104372492616334,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,35,4636,42,3,1,0,1,0,4,0,1,0,0,0,0,0
HutC,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],['PP_0291'],[],['hisG'],[],['hisI' 'hisB' 'hisA' 'hisD'],[],['hisH'],[],[],[],[],[]
HutC_genes,['hutF' 'hutG'],[],['hutI' 'hutU'],['hutH' 'proY'],['PP_5034'],[],['hutC'],[],[],[],[],[],[],[],[],[],[],[],[],[]
