,A,HutC
set27IT012,-11.294471614039162,-0.217
set27IT013,-10.779969400217569,-0.175
set27IT014,-11.717518882037172,-0.512
set27IT015,-9.94163319841294,-0.492
set27IT016,-10.459480753570713,-0.45
set27IT017,-10.321006471981168,-0.546
set27IT018,-11.62554174674026,-0.502
set27IT019,-10.830680475582753,-0.419
set27IT020,-6.586652551793324,-0.285
set27IT021,-6.418724436700521,-0.286
set27IT024,-3.7307746411225087,-0.123
set27IT025,-2.645467960447992,0.053
set27IT028,-8.269104607143737,-0.149
set27IT029,-8.316683312585482,-0.259
set27IT030,-7.835501775084334,-0.539
set27IT031,-8.200061353708334,-0.481
set27IT032,-12.627823027259597,-0.568
set27IT033,-12.117848023093782,-0.503
set27IT034,-10.560746968449832,-0.601
set27IT035,-10.48220604264469,-0.529
set27IT036,-9.971691547206236,-0.808
set27IT037,-11.00785099509084,-0.556
set27IT038,-7.757001868742152,-0.5
set27IT039,-8.12671828247964,-0.591
set27IT040,-11.4523146181969,-0.391
set27IT041,-12.8973670850564,-0.468
set27IT042,-11.631849342759688,-0.501
set27IT043,-11.368531302361864,-0.748
set27IT044,-9.694333633170135,-0.529
set27IT045,-10.556802734369096,-0.171
set27IT046,-11.729279970173796,-0.068
set27IT047,-11.537234417323765,-0.004
set27IT048,-2.53734389159847,-0.196
set27IT049,-2.151593599501834,-0.296
set27IT050,-12.938710339308676,-0.854
set27IT051,-12.629573327776994,-0.652
set27IT052,-10.697284380174256,-0.479
set27IT053,-9.844856439927742,-0.32
set27IT054,-10.888906156079209,-0.375
set27IT055,-10.739149180912625,-0.507
set27IT056,-11.985480748747994,-0.396
set27IT057,-11.225293135700849,-0.426
set27IT058,-4.342447579885995,-0.403
set27IT059,-5.471884311757512,-0.207
set27IT060,-10.20141268827037,-0.747
set27IT061,-10.118252852460436,-0.997
set27IT062,2.777362267370326,0.235
set27IT063,3.41898345456396,0.3
set27IT064,-8.18784121089363,-0.27
set27IT065,-7.866090609837744,-0.194
set27IT066,-9.495231942409424,-0.627
set27IT067,-10.06621196530588,-0.881
set27IT068,-6.648524406883159,-0.335
set27IT069,-4.2508843152874425,-0.723
set27IT070,-7.501925774328594,5.194
set27IT071,-7.760362351467974,5.142
set27IT072,-11.46090683212444,0.489
set27IT073,-11.301964823767833,0.643
set28IT003,-9.480147927658075,-0.481
set28IT004,-10.318831262259174,-0.626
set28IT005,-9.072871628812106,-0.652
set28IT006,-9.134945364706397,-0.582
set28IT007,-7.543455609008024,-0.578
set28IT008,-7.390268948177866,-0.494
set28IT009,-9.250671522108483,-0.63
set28IT010,-9.42548958833661,-0.4
set28IT013,-8.270845396990602,-0.398
set28IT014,-7.258143823082762,-0.249
set28IT017,-9.34242796160444,-0.19
set28IT018,-8.066871023565229,-0.254
set28IT021,-9.31905862724004,-0.158
set28IT022,-9.384246775885542,-0.522
set28IT023,-10.4494607799752,-0.424
set28IT024,-8.574627363688794,-0.265
set28IT027,-10.220017806473486,-1.333
set28IT028,-9.277134092417366,-1.752
set28IT029,-9.31807634502194,-0.652
set28IT030,-9.215768706723386,-0.787
set28IT031,-10.09853140315446,-0.344
set28IT032,-10.93281126240628,-0.466
set28IT035,-9.081629745780818,-0.269
set28IT036,-9.776250604907627,-0.241
set28IT037,-7.941230439811428,-0.116
set28IT038,-8.149284158087728,-0.296
set28IT039,-8.818569731884514,-0.507
set28IT040,-8.34058759477038,-0.413
set28IT041,-9.734107600095772,-0.398
set28IT042,-8.874790124623933,-0.291
set28IT045,-9.985645639589393,-0.461
set28IT046,-8.14710705796925,-0.475
set29IT004,-9.826850954348656,-3.316
set29IT005,-11.42307131355332,-1.671
set29IT006,-10.763910095571072,-0.626
set29IT007,-11.290067162686585,-0.737
set29IT014,-9.714763905798725,-0.738
set29IT015,-10.422072226575322,-1.137
set29IT057,-11.372293424677473,-0.917
set29IT058,-10.681532156227862,-1.192
set100IT008,-7.897749437927534,-0.345
set100IT009,-10.168943453296396,-0.399
set100IT010,-9.029637232517306,-0.514
set100IT011,-8.459568349380287,-0.31
set100IT012,-9.767665819319518,-0.623
set100IT013,-8.40590777719694,-0.259
set100IT014,-9.970829069762182,-0.275
set100IT015,-10.52096161707957,-0.551
set100IT016,-10.810086881496725,-0.648
set100IT017,-10.435897620801656,-0.237
set100IT018,-13.795412711237857,-0.391
set100IT019,-11.067321244262429,-0.39
set100IT020,-9.295679383537234,-0.73
set100IT021,-10.582704908378457,-0.647
set100IT022,-8.613809701084921,-0.865
set100IT023,-9.964843689606647,-0.483
set100IT024,-10.872756028190766,-0.4
set100IT025,-8.970084433141617,-0.498
set100IT026,-8.952727031782018,-0.99
set100IT027,-10.695848444386888,-1.065
set100IT028,-9.961543386631384,-1.116
set100IT029,-10.109096109000614,-0.772
set100IT030,-10.51201453658033,-0.605
set100IT031,-10.326291427240172,-0.691
set100IT032,-9.550883360091328,-0.668
set100IT033,-11.573422807777993,-0.777
set100IT034,-9.553183943398007,-0.625
set100IT035,-9.512362020934706,-0.615
set100IT036,-10.615959170918416,-0.831
set100IT037,-10.751590768162668,-0.879
set100IT038,-7.065595691031933,-0.18
set100IT039,-14.367201528055764,-0.229
set100IT040,-10.294841729917366,-0.446
set100IT041,-9.671309102386294,-0.707
set100IT042,-11.487255311866964,-0.844
set100IT043,-10.578958220787186,-0.589
set100IT044,-9.504176374320467,-0.56
set100IT045,-10.90273506320724,-0.537
set100IT046,-9.513639335043791,-0.345
set101IT007,-8.74153171734196,-0.238
set101IT008,-9.082048121415784,-0.323
set101IT009,-9.138342139277002,-0.36
set101IT013,-11.601632718944352,-1.282
set101IT014,-12.311954269321149,-1.136
set101IT015,-9.655948600190708,-1.222
set101IT016,-11.492861208681925,-0.737
set101IT017,-10.473903347754948,-0.577
set101IT018,-8.463166820176946,-0.485
