,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),-11.241015121724036,0.12159440329507268,2.0,0.0,-11.326995348848314,1.0,-11.155034894599758,,,,
1,set1__Glucose carbon source (20mM),-10.727587464657994,0.36147562824683865,2.0,2.0,-10.471985596690986,3.0,-10.983189332625,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-8.62076963650059,0.3519448830647372,2.0,4.0,-8.869632249919572,5.0,-8.371907023081608,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-9.367362374113718,0.8924792009429787,2.0,6.0,-9.99844046916845,7.0,-8.736284279058987,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-8.072373976041975,0.21389390361171126,2.0,8.0,-8.223619805740277,9.0,-7.921128146343672,,,,
5,set5__D-Glucose carbon source,-11.348721910487392,0.0057681282964173256,2.0,10.0,-11.344643227854242,11.0,-11.352800593120543,,,,
6,set5__Levulinic Acid carbon source,-11.138620016871133,1.1557942583730645,4.0,12.0,-12.359383333616952,13.0,-9.571369441262412,14.0,-11.289314250200452,15.0,-11.33441304240472
7,set5__Vanillin carbon source,-12.121036415929808,0.35765842155285454,2.0,16.0,-11.868133720701309,17.0,-12.37393911115831,,,,
8,set5__p-Coumaric acid carbon source,-11.66692389360254,0.09347985854638405,2.0,18.0,-11.600823651720033,19.0,-11.733024135485048,,,,
9,set6__D-Glucose carbon source,-7.1151028355200605,,1.0,20.0,-7.1151028355200605,,,,,,
10,set6__Ferulic Acid carbon source,-7.025938088156335,,1.0,21.0,-7.025938088156335,,,,,,
11,set6__benzoic acid carbon source,-6.918995864369131,,1.0,22.0,-6.918995864369131,,,,,,
12,set6__Valerolactam carbon source,-6.148931907643076,,1.0,23.0,-6.148931907643076,,,,,,
13,set6__D-Glucuronic Acid carbon source,-7.826383759289282,,1.0,24.0,-7.826383759289282,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-7.28472534808856,,1.0,25.0,-7.28472534808856,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-7.796356771540318,0.4827941719017726,2.0,26.0,-7.454969738671231,30.0,-8.137743804409405,,,,
16,set7__Valerolactam 10 mM carbon source,-6.056619626962721,,1.0,27.0,-6.056619626962721,,,,,,
17,set7__L-Lysine 10 mM carbon source,-9.118594797829155,,1.0,28.0,-9.118594797829155,,,,,,
18,set7__D-Lysine 10 mM carbon source,-8.266124562823501,2.367356650112049,2.0,29.0,-6.592150622042202,31.0,-9.9400985036048,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-5.191163785999989,,1.0,32.0,-5.191163785999989,,,,,,
