,PP_2226
set1IT078,-0.111
set1IT079,-0.092
set1IT080,0.098
set1IT081,0.182
set1IT082,-0.034
set1IT083,0.145
set1IT084,0.12
set1IT085,-0.011
set1IT086,0.209
set1IT087,0.096
set5IT075,0.037
set5IT076,-0.048
set5IT081,0.059
set5IT082,-0.167
set5IT083,-0.281
set5IT084,-0.128
set5IT085,-0.597
set5IT086,-0.402
set5IT087,-0.051
set5IT088,-0.195
set6IT057,-0.052
set6IT059,-0.209
set6IT061,0.0
set6IT064,-0.145
set6IT065,-0.095
set7IT042,0.509
set7IT044,-0.414
set7IT045,0.26
set7IT055,-0.222
set7IT056,-0.24
set7IT057,-0.058
set7IT062,-0.278
set8IT058,0.456
set8IT059,0.188
set8IT060,0.922
set8IT062,0.5
set8IT064,0.304
set8IT070,-0.04
set8IT073,-0.308
set8IT080,0.084
set8IT081,-0.002
set8IT082,0.603
set8IT084,0.453
set8IT085,-0.067
set8IT089,0.003
set8IT090,-0.351
set8IT092,-0.068
set8IT093,-0.196
set8IT094,-0.485
set8IT095,-0.223
set8IT096,-0.141
set9IT020,-0.346
set9IT022,-0.129
set9IT025,0.178
set10IT006,0.022
set10IT008,0.169
set10IT010,-0.068
set10IT017,-0.157
set10IT018,-0.065
set10IT019,-0.105
set10IT020,-0.328
set10IT021,0.111
set10IT022,-0.054
set10IT023,-0.027
set10IT024,-0.258
set10IT025,0.177
set10IT026,-0.055
set10IT027,0.01
set10IT028,-0.063
set10IT029,-0.171
set10IT031,0.211
set10IT032,-0.057
set10IT033,0.077
set10IT034,-0.09
set10IT035,-0.246
set10IT036,-0.055
set10IT037,0.226
set10IT043,0.234
set10IT044,0.359
set10IT053,0.456
set12IT001,0.315
set12IT002,0.212
set12IT004,0.295
set12IT007,-0.134
set12IT008,-0.256
set12IT009,0.076
set12IT014,0.195
set12IT015,0.055
set12IT016,0.126
set12IT017,0.248
set12IT023,0.071
set12IT024,-0.198
set12IT025,0.528
set12IT026,-0.304
set12IT027,0.292
set12IT028,0.282
set12IT029,0.122
set12IT031,0.148
set12IT032,0.138
set12IT034,0.264
set12IT037,0.142
set12IT038,0.371
set12IT039,0.051
set12IT044,-0.291
set12IT046,0.241
set12IT053,0.176
set12IT054,0.095
set12IT055,0.256
set12IT056,0.388
set12IT057,-0.366
set12IT058,0.044
set12IT059,-0.111
set15IT054,-0.085
set15IT057,0.15
set15IT058,0.004
set15IT059,-0.038
set15IT060,0.195
set15IT061,0.18
set15IT062,0.25
set15IT063,0.192
set15IT064,-0.033
set15IT065,0.578
set15IT066,0.103
set15IT067,0.027
set15IT068,0.113
set15IT071,0.055
set15IT072,-0.044
set15IT073,-0.012
set15IT074,0.285
set15IT075,0.291
set15IT076,0.1
set15IT077,-0.154
set15IT078,0.177
set15IT079,0.104
set15IT080,0.292
set15IT081,0.162
set16IT004,0.06
set16IT005,0.216
set16IT006,-0.138
set16IT007,-0.036
set16IT008,0.024
set16IT009,0.164
set16IT010,0.059
set16IT011,0.032
set16IT012,0.342
set16IT013,-0.082
set16IT014,0.068
set16IT015,0.213
set27IT004,-0.084
set27IT005,-0.105
set27IT006,0.05
set27IT007,-0.092
set27IT008,-0.01
set27IT009,-0.173
set27IT010,-0.016
set27IT011,-0.11
set27IT012,0.126
set27IT013,0.125
set27IT014,0.064
set27IT015,-0.044
set27IT016,-0.161
set27IT017,-0.122
set27IT018,0.188
set27IT019,0.151
set27IT020,0.186
set27IT021,-0.132
set27IT024,-0.104
set27IT025,0.066
set27IT028,-0.153
set27IT029,-0.243
set27IT030,-0.058
set27IT031,0.023
set27IT032,0.007
set27IT033,-0.111
set27IT034,0.034
set27IT035,0.012
set27IT036,0.131
set27IT037,0.031
set27IT038,0.112
set27IT039,-0.056
set27IT040,-0.141
set27IT041,0.073
set27IT042,0.197
set27IT043,-0.136
set27IT044,-0.131
set27IT045,-0.317
set27IT046,0.057
set27IT047,0.091
set27IT048,-0.237
set27IT049,-0.167
set27IT050,-0.025
set27IT051,0.036
set27IT052,-0.076
set27IT053,0.071
set27IT054,0.069
set27IT055,0.052
set27IT056,-0.107
set27IT057,-0.132
set27IT058,0.044
set27IT059,-0.204
set27IT060,0.038
set27IT061,-0.193
set27IT062,0.275
set27IT063,-0.001
set27IT064,0.105
set27IT065,0.162
set27IT066,-0.083
set27IT067,0.079
set27IT068,-0.063
set27IT069,0.242
set27IT070,-0.239
set27IT071,0.053
set27IT072,-0.133
set27IT073,-0.103
set28IT003,0.081
set28IT004,0.353
set28IT005,0.195
set28IT006,0.282
set28IT007,0.243
set28IT008,0.116
set28IT009,0.155
set28IT010,0.183
set28IT013,0.039
set28IT014,0.134
set28IT017,0.155
set28IT018,0.151
set28IT021,0.131
set28IT022,0.256
set28IT023,0.154
set28IT024,0.447
set28IT027,-1.272
set28IT028,-0.819
set28IT029,0.035
set28IT030,0.396
set28IT031,0.187
set28IT032,0.305
set28IT035,0.1
set28IT036,-0.029
set28IT037,0.214
set28IT038,0.088
set28IT039,0.245
set28IT040,-0.025
set28IT041,0.491
set28IT042,0.111
set28IT045,0.13
set28IT046,0.232
set29IT004,-0.964
set29IT005,-0.524
set29IT006,-0.129
set29IT007,0.308
set29IT014,0.145
set29IT015,-0.017
set29IT057,0.236
set29IT058,-0.142
set100IT008,-0.286
set100IT009,-0.382
set100IT010,-0.102
set100IT011,-0.005
set100IT012,-0.268
set100IT013,-0.097
set100IT014,-0.281
set100IT015,-0.423
set100IT016,-0.426
set100IT017,0.01
set100IT018,-0.299
set100IT019,-0.095
set100IT020,-0.237
set100IT021,-0.111
set100IT022,-0.057
set100IT023,0.02
set100IT024,-0.15
set100IT025,-0.201
set100IT026,-0.79
set100IT027,-0.367
set100IT028,-0.911
set100IT029,-0.044
set100IT030,-0.2
set100IT031,-0.247
set100IT032,-0.033
set100IT033,-0.03
set100IT034,0.061
set100IT035,-0.087
set100IT036,-0.052
set100IT037,-0.101
set100IT038,-0.44
set100IT039,-0.401
set100IT040,-0.358
set100IT041,0.018
set100IT042,-0.284
set100IT043,-0.255
set100IT044,-0.044
set100IT045,-0.24
set100IT046,-0.026
set101IT007,0.138
set101IT008,0.449
set101IT009,0.039
set101IT013,-0.677
set101IT014,-0.831
set101IT015,-0.423
set101IT016,0.118
set101IT017,-0.001
set101IT018,0.316
set101IT019,0.433
set101IT020,0.185
set101IT021,0.09
set101IT022,-0.077
set101IT023,0.054
set101IT024,0.177
set101IT025,-0.07
set101IT026,0.08
