,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.129,0.2276883835420683,2.0,0.0,-0.032,1.0,0.29,,,,
1,set1__Glucose carbon source (20mM),0.16699999999999998,0.26728636328851496,2.0,2.0,-0.022,3.0,0.356,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.14400000000000002,0.0311126983722081,2.0,4.0,0.166,5.0,0.122,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.164,0.1131370849898476,2.0,6.0,0.244,7.0,0.084,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.01,0.05091168824543142,2.0,8.0,-0.026,9.0,0.046,,,,
5,set5__D-Glucose carbon source,-0.0715,0.10677312395916867,2.0,10.0,0.004,11.0,-0.147,,,,
6,set5__Levulinic Acid carbon source,0.061500000000000006,0.09744913202965605,4.0,12.0,0.202,13.0,-0.023,14.0,0.029,15.0,0.038
7,set5__Vanillin carbon source,0.0135,0.05586143571373726,2.0,16.0,0.053,17.0,-0.026,,,,
8,set5__p-Coumaric acid carbon source,-0.0455,0.03323401871576774,2.0,18.0,-0.022,19.0,-0.069,,,,
9,set6__D-Glucose carbon source,-0.265,,1.0,20.0,-0.265,,,,,,
10,set6__Ferulic Acid carbon source,-0.01,,1.0,21.0,-0.01,,,,,,
11,set6__benzoic acid carbon source,0.455,,1.0,22.0,0.455,,,,,,
12,set6__Valerolactam carbon source,0.052,,1.0,23.0,0.052,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.07,,1.0,24.0,-0.07,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.041,,1.0,25.0,-0.041,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.11350000000000002,0.23688077169749344,2.0,26.0,-0.281,30.0,0.054,,,,
16,set7__Valerolactam 10 mM carbon source,-0.132,,1.0,27.0,-0.132,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.181,,1.0,28.0,-0.181,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.053500000000000006,0.1661700935788387,2.0,29.0,0.064,31.0,-0.171,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.057,,1.0,32.0,-0.057,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.205,,1.0,33.0,-0.205,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.678,,1.0,34.0,-0.678,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.16399999999999998,0.3620386719675123,2.0,35.0,-0.42,47.0,0.092,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.0425,0.03889087296526012,2.0,36.0,-0.015,49.0,-0.07,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.033,,1.0,37.0,-0.033,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.001,,1.0,38.0,0.001,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.02,,1.0,39.0,0.02,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.087,,1.0,40.0,-0.087,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.123,,1.0,41.0,-0.123,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.387,,1.0,42.0,-0.387,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.215,,1.0,43.0,-0.215,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.106,,1.0,44.0,-0.106,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.013,,1.0,45.0,-0.013,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.253,,1.0,46.0,-0.253,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.049,,1.0,48.0,0.049,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.012,,1.0,50.0,-0.012,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.129,,1.0,51.0,-0.129,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.251,,1.0,52.0,0.251,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-0.221,,1.0,53.0,-0.221,,,,,,
39,set10__L-Arginine carbon source,-0.012,,1.0,54.0,-0.012,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,0.114,,1.0,55.0,0.114,,,,,,
41,set10__L-Histidine carbon source,0.026,,1.0,56.0,0.026,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,0.112,,1.0,57.0,0.112,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.04,,1.0,58.0,-0.04,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-0.071,,1.0,59.0,-0.071,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-0.108,,1.0,60.0,-0.108,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,0.104,,1.0,61.0,0.104,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,0.017,,1.0,62.0,0.017,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,0.16,,1.0,63.0,0.16,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,0.086,,1.0,64.0,0.086,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-0.069,,1.0,65.0,-0.069,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,0.017,,1.0,66.0,0.017,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-0.198,,1.0,67.0,-0.198,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,0.255,,1.0,68.0,0.255,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,0.131,,1.0,69.0,0.131,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,0.007,,1.0,70.0,0.007,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,0.253,,1.0,71.0,0.253,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,0.145,,1.0,72.0,0.145,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-0.064,,1.0,73.0,-0.064,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,0.118,,1.0,74.0,0.118,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-0.118,,1.0,75.0,-0.118,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,0.128,,1.0,76.0,0.128,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-0.017,,1.0,77.0,-0.017,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.096,,1.0,78.0,0.096,,,,,,
64,set10__Sodium butyrate carbon source,-0.025,,1.0,79.0,-0.025,,,,,,
65,set12__Vanillin carbon source,0.031,0.10748023074035522,2.0,80.0,0.107,97.0,-0.045,,,,
66,"set12__1,2-Propanediol carbon source",0.08349999999999999,0.12940054095713818,2.0,81.0,0.175,98.0,-0.008,,,,
67,set12__Sodium propionate carbon source,0.047,0.04949747468305833,2.0,82.0,0.082,99.0,0.012,,,,
68,set12__2-methyl-1-butanol carbon source,0.0845,0.1605132393293463,2.0,83.0,0.198,100.0,-0.029,,,,
69,"set12__1,5-Pentanediol carbon source",-0.0495,0.021920310216782972,2.0,84.0,-0.065,101.0,-0.034,,,,
70,"set12__1,4-Butanediol carbon source",0.03,0.06646803743153547,2.0,85.0,-0.017,102.0,0.077,,,,
71,set12__Vanillic Acid carbon source,0.15550000000000003,0.17324116139070417,2.0,86.0,0.033,103.0,0.278,,,,
72,set12__Protocatechuic Acid carbon source,0.096,0.007071067811865481,2.0,87.0,0.091,89.0,0.101,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,0.06,0.031112698372208095,2.0,88.0,0.038,104.0,0.082,,,,
74,set12__L-Lysine carbon source,-0.0155,0.033234018715767734,2.0,90.0,0.008,105.0,-0.039,,,,
75,set12__p-Coumaric acid carbon source,-0.002999999999999999,0.05374011537017762,2.0,91.0,-0.041,106.0,0.035,,,,
76,set12__benzoic acid carbon source,-0.1485,0.1279863273947651,2.0,92.0,-0.058,107.0,-0.239,,,,
77,set12__Ferulic Acid carbon source,0.099,0.042426406871192854,2.0,93.0,0.069,108.0,0.129,,,,
78,set12__D-Glucose carbon source,0.08800000000000001,0.2050609665440988,2.0,94.0,-0.057,109.0,0.233,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,0.35150000000000003,0.1279863273947651,2.0,95.0,0.442,110.0,0.261,,,,
80,set12__Phenylacetic acid carbon source,0.247,0.0028284271247461927,2.0,96.0,0.249,111.0,0.245,,,,
81,set15__Butyl stearate carbon source,0.10149999999999998,0.2637508293825822,2.0,112.0,0.288,124.0,-0.085,,,,
82,set15__Hexanoic acid carbon source,-0.015,0.01697056274847714,2.0,113.0,-0.003,125.0,-0.027,,,,
83,set15__Decanoic acid carbon source,-0.0995,0.0431335136523794,2.0,114.0,-0.13,126.0,-0.069,,,,
84,set15__Lauric acid carbon source,-0.06,0.13293607486307094,2.0,115.0,0.034,127.0,-0.154,,,,
85,set15__Valeric acid carbon source,-0.244,0.2630437226013957,2.0,116.0,-0.058,128.0,-0.43,,,,
86,set15__Octanoic acid carbon source,0.01,0.009899494936611667,2.0,117.0,0.003,129.0,0.017,,,,
87,set15__Nonanoic acid carbon source,0.1315,0.044547727214752496,2.0,118.0,0.1,130.0,0.163,,,,
88,set15__Tween 20 carbon source,0.193,0.16122034611053282,2.0,119.0,0.079,131.0,0.307,,,,
89,set15__Myristic acid carbon source,-0.28400000000000003,0.13435028842544403,2.0,120.0,-0.189,132.0,-0.379,,,,
90,set15__Sodium butyrate carbon source,0.1375,0.28779245994292485,2.0,121.0,0.341,133.0,-0.066,,,,
91,set15__Oleic acid carbon source,-0.1805,0.2736503243191939,2.0,122.0,0.013,134.0,-0.374,,,,
92,set15__Heptanoic acid carbon source,0.0415,0.2043538597629122,2.0,123.0,0.186,135.0,-0.103,,,,
93,set16__Butanol carbon source,0.0695,0.0021213203435596346,2.0,136.0,0.071,137.0,0.068,,,,
94,"set16__1,3-Butandiol carbon source",0.0905,0.07707463914933367,2.0,138.0,0.145,139.0,0.036,,,,
