,A,GbdR
set28IT041,0.9815768348228928,0.171
set28IT042,0.7728610054106396,0.079
set28IT045,0.1056366266650448,0.084
set28IT046,0.2632369700657104,0.132
set29IT004,-0.0867261396059033,0.94
set29IT005,-0.5764997536942034,0.624
set29IT006,0.807026322981315,0.197
set29IT007,0.805033703379961,0.179
set29IT014,0.7712312206524073,-0.587
set29IT015,1.0530943047842876,-0.377
set29IT057,0.8655519275125068,0.121
set29IT058,0.9074544254648051,-0.026
set100IT008,0.0575571991136915,-0.228
set100IT009,0.3996216845488831,0.068
set100IT010,0.2370960095303915,-0.042
set100IT011,0.0793130799696734,-0.163
set100IT012,0.4676912228714988,-0.02
set100IT013,0.0833767651621389,0.065
set100IT014,0.194708701294823,-0.206
set100IT015,0.5989365150308037,0.072
set100IT016,0.1574336040795237,-0.088
set100IT017,0.4809583390440434,0.026
set100IT018,0.8967985620544553,0.082
set100IT019,0.5378649173323052,0.03
set100IT020,0.2591270458146448,-0.131
set100IT021,0.5521868480863897,0.111
set100IT022,0.3750323545986016,0.013
set100IT023,0.2217960290197094,-0.01
set100IT024,0.7924298093334231,0.107
set100IT025,0.1430767860107215,0.022
set100IT026,0.0054644470916983,-0.049
set100IT027,0.4495843284932253,0.294
set100IT028,-0.1304554270813861,0.147
set100IT029,0.1045814854107561,-0.137
set100IT030,0.7835881230154638,0.095
set100IT031,0.465695704725579,0.111
set100IT032,0.4614845436855412,-0.051
set100IT033,0.9902617060615748,0.236
set100IT034,0.4520510608587371,-0.012
set100IT035,0.1603675059879849,-0.068
set100IT036,0.8891182393274154,0.005
set100IT037,0.1940832044571762,-0.04
set100IT038,0.5920611124228957,0.006
set100IT039,0.3424388212014121,-0.011
set100IT040,-0.091366828706557,0.045
set100IT041,0.1240769890769473,-0.105
set100IT042,0.9047952971775388,0.136
set100IT043,0.4080053348169227,0.056
set100IT044,0.0163263326570463,-0.026
set100IT045,0.5377911828241131,0.054
set100IT046,0.2895246798377803,-0.135
set101IT007,0.3255196589348224,-0.179
set101IT008,0.4109759050208463,-0.032
set101IT009,0.4692627620361304,-0.047
set101IT013,0.5263523630826008,0.035
set101IT014,0.611811638210303,-0.065
set101IT015,0.5143857317788398,-0.01
set101IT016,0.4656007233566449,-0.022
set101IT017,0.4915637080964856,-0.011
set101IT018,0.3421528949153825,-0.002
set101IT019,0.5783078257293884,-0.014
set101IT020,0.2452769778253987,-0.204
set101IT021,0.2354452465899271,-0.054
set101IT022,0.2884040842127634,0.081
set101IT023,0.1609709503362022,-0.174
set101IT024,0.4749232570579869,-0.077
set101IT025,-0.0641277052567851,0.019
set101IT026,-0.0572108468813859,-0.11
set101IT027,0.2789219644517947,0.014
set101IT028,-0.0596537205928351,-0.079
set101IT029,0.1123936398611958,-0.169
set101IT030,0.1387131316315296,-0.112
set101IT031,0.2486827684145585,0.005
set101IT032,0.2741762913175966,-0.083
set101IT033,0.4128262127161839,-0.228
set101IT034,0.4990760476339057,-0.042
set101IT035,0.0763230283796861,-0.071
set101IT036,0.1943233898338258,-0.117
set101IT037,0.5226133943540546,-0.06
set101IT038,0.2874600269603194,-0.199
set101IT039,0.4003730326018578,-0.182
set101IT040,0.2164690867117616,0.088
set101IT041,0.2189390441656724,-0.128
set101IT042,0.2114639481511718,-0.122
set101IT043,0.2203568718910711,-0.108
set101IT044,0.418588952555252,-0.09
set101IT045,0.065337046789508,-0.095
set101IT046,1.0915749552610303,0.004
set101IT047,0.5365994290879941,-0.005
set101IT048,0.3700978656784353,-0.02
