,Value,list
TF,GbdR,
reg_genes,28,"['fimD' 'fdhA' 'bfr-II' 'PP_3976' 'oprI' 'cbcX' 'oprD' 'evgA' 'purU-I'
 'brnQ' 'dusA' 'PP_5259']"
comp_genes,22,['PP_5441' 'serA' 'lcdH' 'PP_0301' 'caiX' 'PP_0303']
both_genes,16,"['soxB' 'cbcV' 'PP_0308' 'dgcA' 'gbdR' 'gbcA' 'soxD' 'dgcB' 'soxA' 'soxG'
 'gbcB' 'PP_0309' 'cbcW' 'PP_0313' 'glyA-I' 'PP_0312']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
