,-0.1167674326456325,-0.0988032122386121,-0.08083899183159171,-0.06287477142457132,-0.044910551017550926,-0.026946330610530533,-0.00898211020351014,0.008982110203510252,0.026946330610530644,0.04491055101755104,0.06287477142457143,0.08083899183159182,0.09880321223861221,0.11676743264563261,0.134731653052653,0.1526958734596734,0.17066009386669379,0.18862431427371418,0.20658853468073457,0.22455275508775496
thresh,-0.1257495428491427,0.1257495428491427,1,,,,,,,,,,,,,,,,,
unreg,0,1,2,8,26,182,2261,2044,147,31,13,5,2,1,2,3,2,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ppk' 'bktB'],['hbd' 'PP_3554' 'PP_3552'],['PP_3551' 'PP_2217'],['PP_3756'],['PP_3553'],[]
