,-0.13721845991544898,-0.09147897327696598,-0.045739486638482985,2.7755575615628914e-17,0.04573948663848301,0.091478973276966,0.13721845991544904,0.18295794655393202,0.228697433192415,0.274436919830898,0.32017640646938095,0.365915893107864,0.411655379746347,0.45739486638482996,0.503134353023313,0.5488738396617959,0.594613326300279,0.640352812938762,0.6860922995772449,0.731831786215728
thresh,-0.11434871659620749,0.11434871659620749,1,,,,,,,,,,,,,,,,,
unreg,1,4,55,4616,52,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
unreg_genes,['pykA'],[],[],[],[],[],[],[],['metZ'],['cysB'],[],['metX'],[],[],[],[],['metW'],[],[],[]
