k,name,in_iM,gene_weight,regulator,function,category
36,fModule_37,True,0.1822259358031903,,,
26,fModule_27,False,-0.0276748056568527,,,
48,fModule_49,False,-0.0269906954937721,,,
59,fModule_60,False,-0.0258731782828726,,,
60,fModule_61,False,0.0242255361326434,,,
3,fModule_4,False,0.0227482823212454,,,
61,fModule_62,False,0.0216898108632555,PP_3603,,
64,fModule_65,False,0.0208443756988556,DctD-II,,
8,fModule_9,False,0.0201556939659871,,,
19,fModule_20,False,-0.0190703291168046,,,
70,fModule_71,False,0.0179552633306134,,,
47,fModule_48,False,-0.0176173489690501,,,
45,fModule_46,False,-0.0136917175444695,,,
12,fModule_13,False,-0.0136401035525354,ModR,,
81,fModule_82,False,-0.0134338832083746,,,
58,fModule_59,False,-0.0133887201598798,,,
40,fModule_41,False,0.0125421768701416,,,
65,fModule_66,False,0.0104566662248819,,,
75,fModule_76,False,-0.0104067791074366,,,
1,fModule_2,False,-0.0100960304331794,,,
31,fModule_32,False,0.0099097859020882,,,
34,fModule_35,False,0.0098970247185898,,,
68,fModule_69,False,0.0097527708384665,,,
7,fModule_8,False,-0.0095388184755001,GltR-II,,
49,fModule_50,False,-0.0094374766973496,PP_2046,,
55,fModule_56,False,0.0093535310481915,PydR,,
46,fModule_47,False,0.0092316206162175,,,
53,fModule_54,False,0.0089522460946759,,,
25,fModule_26,False,0.0086031091830941,,,
50,fModule_51,False,-0.0074475837058952,,,
72,fModule_73,False,-0.0072622703500814,RpoD,,
71,fModule_72,False,-0.007260160281422,,,
14,fModule_15,False,-0.0069092210989838,,,
43,fModule_44,False,-0.0066329452931969,,,
30,fModule_31,False,-0.0065781812602559,,,
41,fModule_42,False,-0.0065712924886362,,,
44,fModule_45,False,0.006431339413389,,,
54,fModule_55,False,0.0060904315259849,,,
13,fModule_14,False,0.0059734549482772,PP_3359,,
56,fModule_57,False,0.0056893370846958,,,
15,fModule_16,False,-0.0056817996715211,PcaR,,
62,fModule_63,False,-0.0056700649026893,,,
73,fModule_74,False,0.0055394999911416,,,
6,fModule_7,False,-0.005460416383034,GbdR,,
18,fModule_19,False,0.0053903666057893,,,
11,fModule_12,False,0.00496820610089,BirA,,
20,fModule_21,False,-0.0049396851613718,,,
51,fModule_52,False,0.0046740907393285,FleQ,,
39,fModule_40,False,0.0045710383374686,,,
38,fModule_39,False,-0.0042038218104092,,,
35,fModule_36,False,0.0040282943010736,,,
42,fModule_43,False,-0.0039746860779147,PhhR,,
0,fModule_1,False,-0.0038377977539263,,,
21,fModule_22,False,0.0036181717521802,,,
52,fModule_53,False,-0.0035019681013394,PP_5350,,
22,fModule_23,False,-0.0034224756842185,,,
83,fModule_84,False,-0.0032392914207483,,,
33,fModule_34,False,0.0030754162027424,,,
67,fModule_68,False,-0.0030467070227633,,,
82,fModule_83,False,0.0029458934689888,,,
24,fModule_25,False,0.0029412959899185,PrpR,,
17,fModule_18,False,-0.0029168755733489,,,
76,fModule_77,False,0.0028264653946166,PsrA,,
28,fModule_29,False,0.0025507640999934,,,
74,fModule_75,False,-0.0025231390823838,,,
9,fModule_10,False,-0.0022816891015397,,,
57,fModule_58,False,-0.0022637764180208,PrpR,,
69,fModule_70,False,0.0022046035541781,,,
16,fModule_17,False,-0.0021607173583798,PedR1,,
27,fModule_28,False,0.0020823231338948,VanR,,
37,fModule_38,False,-0.0020392183343149,,,
10,fModule_11,False,-0.0017653916128375,PrpR,,
63,fModule_64,False,-0.0016364162673807,,,
78,fModule_79,False,-0.001531046058646,,,
23,fModule_24,False,-0.0014191768545552,,,
4,fModule_5,False,0.0014117167964159,BenR,,
29,fModule_30,False,-0.0011495537656856,HutC,,
32,fModule_33,False,-0.00077200942236,BirA,,
5,fModule_6,False,-0.0007216317796043,GcsR,,
79,fModule_80,False,-0.0005657388816025,,,
2,fModule_3,False,-0.0003515680593208,,,
80,fModule_81,False,-0.0003490788392164,,,
77,fModule_78,False,0.0002389041301203,,,
66,fModule_67,False,-2.091678443057816e-05,,,
